© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	2.31E00	1.43E-01	NaN	ALDH2,MAOA	
BMP signaling pathway	2.29E00	4.4E-02	-2.000	JUN,MAPK3,RAP1A,SMAD7	
PTEN Regulation	2.24E00	3.33E-02	-0.447	JUN,LAMTOR4,MAPK3,PSMB6,PSMD8	
Corticotropin Releasing Hormone Signaling	2.22E00	3.29E-02	-2.000	JUN,JUND,MAPK3,MEF2C,RAP1A	
Activin Inhibin Signaling Pathway	2.19E00	2.75E-02	-1.633	FOSB,JUN,MAPK3,SMAD7,SOX17,TGFB2	
UVC-Induced MAPK Signaling	2.17E00	5.88E-02	NaN	JUN,MAPK3,RAP1A	
UVB-Induced MAPK Signaling	2.14E00	5.77E-02	NaN	H3-3A/H3-3B,JUN,MAPK3	
FOXO-mediated transcription of cell cycle genes	2.14E00	1.18E-01	NaN	BTG1,CAV1	
HER-2 Signaling in Breast Cancer	2.11E00	2.64E-02	-1.633	COX5A,ETS1,ETS2,JUN,MAPK3,RAP1A	
Inhibition of ARE-Mediated mRNA Degradation Pathway	2.09E00	3.07E-02	NaN	MAPK3,PSMB6,PSMD8,TNFSF10,ZFP36L1	
Transport of inorganic cations/anions and amino acids/oligopeptides	2.09E00	3.85E-02	-2.000	SLC38A5,SLC3A2,SLC6A6,SLC7A1	
Transcriptional Regulatory Network in Embryonic Stem Cells	2.08E00	3.05E-02	-1.342	MAPK3,RAP1A,TBX3,TGFB2,TRIM24	
Cardiac Hypertrophy Signaling (Enhanced)	2.07E00	1.85E-02	-3.000	ADRB2,IFNAR1,IL10RB,JUN,MAPK3,MEF2C,PDE4B,RAP1A,TGFB2,TNFSF10	
Cargo recognition for clathrin-mediated endocytosis	2.05E00	3.74E-02	-2.000	ADRB2,CLTB,EPN2,TFRC	
HMGB1 Signaling	2.05E00	2.99E-02	-2.000	JUN,MAPK3,RAP1A,TGFB2,TNFSF10	
IL-12 Signaling and Production in Macrophages	2.04E00	2.55E-02	0.000	ETS2,H3-3A/H3-3B,IL10RB,JUN,MAPK3,TGFB2	
Telomerase Signaling	2.03E00	3.7E-02	-2.000	ETS1,ETS2,MAPK3,RAP1A	
Androgen Signaling	2.03E00	2.96E-02	NaN	H3-3A/H3-3B,JUN,MAPK3,NCOA4,POLR2E	
NRF2-mediated Oxidative Stress Response	2.02E00	2.53E-02	-2.236	Cyp2d22,JUN,JUND,MAPK3,PPIB,RAP1A	
Hedgehog 'off' state	1.97E00	3.54E-02	NaN	PSMB6,PSMD8,TUBA1A,TUBB4B	
Erythropoietin Signaling Pathway	1.96E00	2.84E-02	-0.447	JUN,MAPK3,RAP1A,TGFB2,TNFSF10	
Kinesins	1.95E00	4.92E-02	NaN	KIF2A,TUBA1A,TUBB4B	
Pancreatic Secretion Signaling Pathway	1.94E00	2.43E-02	-2.449	CA2,CA4,MAPK3,ORAI1,RAP1A,SLC6A6	
IL-2 Signaling	1.93E00	4.84E-02	NaN	JUN,MAPK3,RAP1A	
IL-13 Signaling Pathway	1.93E00	3.45E-02	-2.000	JUN,MAOA,MAPK3,TGFB2	
Putrescine Degradation III	1.92E00	9.09E-02	NaN	ALDH2,MAOA	
Thrombopoietin Signaling	1.92E00	4.76E-02	NaN	JUN,MAPK3,RAP1A	
Gap Junction Signaling	1.91E00	2.15E-02	-2.646	CAV1,MAPK3,PTPRM,RAP1A,TUBA1A,TUBB,TUBB4B	
Virus Entry via Endocytic Pathways	1.9E00	3.39E-02	NaN	CAV1,CLTB,RAP1A,TFRC	
Myelination Signaling Pathway	1.9E00	2.14E-02	-0.378	ID2,JUN,LAMA4,MAPK3,RAP1A,SLC16A1,SMAD7	
Wound Healing Signaling Pathway	1.9E00	2.38E-02	-2.449	JUN,MAPK3,RAP1A,TGFB2,TNFSF10,VIM	
Semaphorin interactions	1.9E00	4.69E-02	NaN	NRP1,SEMA6A,SEMA6D	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.88E00	4.62E-02	NaN	IFNAR1,JUN,PPIB	
ERB2-ERBB3 Signaling	1.88E00	4.62E-02	NaN	JUN,MAPK3,RAP1A	
Nitric Oxide Signaling in the Cardiovascular System	1.88E00	3.33E-02	NaN	CAV1,KDR,MAPK3,SLC7A1	
LPS/IL-1 Mediated Inhibition of RXR Function	1.86E00	2.33E-02	NaN	ALAS1,ALDH2,Cyp2d22,HS3ST1,JUN,MAOA	
IL-17 Signaling	1.85E00	2.67E-02	-2.236	JUN,MAPK3,RAP1A,TGFB2,TNFSF10	
IL-22 Signaling	1.85E00	8.33E-02	NaN	IL10RB,MAPK3	
Macrophage Classical Activation Signaling Pathway	1.83E00	2.65E-02	NaN	IFNAR1,IFNAR2,STK38,TGFB2,TNFSF10	
Cardiac Hypertrophy Signaling	1.83E00	2.3E-02	-2.449	ADRB2,JUN,MAPK3,MEF2C,RAP1A,TGFB2	
Remodeling of Epithelial Adherens Junctions	1.83E00	4.41E-02	NaN	TUBA1A,TUBB,TUBB4B	
Macrophage Alternative Activation Signaling Pathway	1.82E00	2.63E-02	-0.447	H3-3A/H3-3B,IL10RB,JUN,MAPK3,TGFB2	
Xanthine and Xanthosine Salvage	1.82E00	5E-01	NaN	PNP	
GDP-L-fucose Biosynthesis I (from GDP-D-mannose)	1.82E00	5E-01	NaN	GMDS	
L1CAM interactions	1.82E00	3.2E-02	-2.000	MAPK3,NRP1,TUBA1A,TUBB4B	
Deubiquitination	1.82E00	2.28E-02	-2.449	ADRB2,OGT,PSMB6,PSMD8,SMAD7,SNX3	
Agrin Interactions at Neuromuscular Junction	1.81E00	4.35E-02	NaN	JUN,MAPK3,RAP1A	
MHC class II antigen presentation	1.81E00	3.17E-02	-2.000	CTSC,KIF2A,TUBA1A,TUBB4B	
GM-CSF Signaling	1.79E00	4.29E-02	NaN	ETS1,MAPK3,RAP1A	
PPARα/RXRα Activation	1.79E00	2.58E-02	1.342	JUN,MAPK3,MEF2C,RAP1A,TGFB2	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.79E00	2.58E-02	NaN	IFNAR1,IFNAR2,KDR,SMAD7,TGFB2	
IL-17A Signaling in Gastric Cells	1.78E00	7.69E-02	NaN	JUN,MAPK3	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.78E00	7.69E-02	NaN	IFNAR1,IFNAR2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.78E00	2.56E-02	NaN	ETS1,ID2,MAPK3,RAP1A,TGFB2	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	1.78E00	4.23E-02	NaN	ASPSCR1,TUBA1A,TUBB4B	
Interferon alpha/beta signaling	1.78E00	4.23E-02	NaN	IFIT3,IFNAR1,IFNAR2	
G Beta Gamma Signaling	1.77E00	3.1E-02	-2.000	CAV1,CAV2,MAPK3,RAP1A	
Clathrin-mediated endocytosis	1.76E00	3.08E-02	-2.000	ADRB2,CLTB,EPN2,TFRC	
Tryptophan Degradation X (Mammalian, via Tryptamine)	1.75E00	7.41E-02	NaN	ALDH2,MAOA	
Pulmonary Healing Signaling Pathway	1.75E00	2.51E-02	-1.342	CXCL12,KDR,MAPK3,RAP1A,TGFB2	
TCF dependent signaling in response to WNT	1.75E00	2.51E-02	-2.236	CAV1,CTNNBIP1,PSMB6,PSMD8,SOX17	
Mitotic G2-G2/M phases	1.75E00	2.51E-02	-2.236	PSMB6,PSMD8,TUBA1A,TUBB,TUBB4B	
Extra-nuclear estrogen signaling	1.74E00	4.11E-02	NaN	CAV1,CAV2,MAPK3	
Gα12/13 Signaling	1.73E00	3.01E-02	-2.000	JUN,MAPK3,MEF2C,RAP1A	
Human Embryonic Stem Cell Pluripotency	1.73E00	2.49E-02	-1.342	ID2,RAP1A,SMAD7,TBX3,TGFB2	
Role of PKR in Interferon Induction and Antiviral Response	1.7E00	2.94E-02	-2.000	IFNAR1,IFNAR2,JUN,MAPK3	
GDNF Family Ligand-Receptor Interactions	1.7E00	3.95E-02	NaN	JUN,MAPK3,RAP1A	
Hypoxia Signaling in the Cardiovascular System	1.7E00	3.95E-02	NaN	JUN,LDHA,UBE2G1	
RAC Signaling	1.69E00	2.92E-02	-2.000	JUN,MAPK3,RAP1A,TIAM1	
Role of Tissue Factor in Cancer	1.68E00	2.42E-02	-2.236	JUN,KDR,MAPK3,RAP1A,TGFB2	
Huntington's Disease Signaling	1.67E00	2.11E-02	NaN	CLTB,JUN,MAPK3,POLR2E,PSMB6,PSMD8	
Neurotrophin/TRK Signaling	1.67E00	3.85E-02	NaN	JUN,MAPK3,RAP1A	
IL-7 Signaling Pathway	1.67E00	3.85E-02	NaN	EBF1,JUN,MAPK3	
IL-3 Signaling	1.65E00	3.8E-02	NaN	JUN,MAPK3,RAP1A	
Thyroid Cancer Signaling	1.65E00	3.8E-02	NaN	JUN,MAPK3,RAP1A	
Cachexia Signaling Pathway	1.65E00	1.9E-02	-1.890	ADRB2,MAPK3,MEF2C,PSMB6,PSMD8,TGFB2,TNFSF10	
Cell surface interactions at the vascular wall	1.65E00	2.37E-02	-2.236	BSG,CAV1,GRB14,SLC16A1,SLC3A2	
Apelin Endothelial Signaling Pathway	1.65E00	2.84E-02	-2.000	JUN,MAPK3,MEF2C,RAP1A	
Guanine and Guanosine Salvage I	1.65E00	3.33E-01	NaN	PNP	
Hypusine Biosynthesis	1.65E00	3.33E-01	NaN	EIF5A	
Adenine and Adenosine Salvage I	1.65E00	3.33E-01	NaN	PNP	
RHO GTPases activate IQGAPs	1.64E00	6.45E-02	NaN	TUBA1A,TUBB4B	
Pathogen Induced Cytokine Storm Signaling Pathway	1.63E00	1.89E-02	-2.646	CXCL12,IFNAR1,IFNAR2,JUN,MAPK3,TGFB2,TNFSF10	
Signaling by NTRK1 (TRKA)	1.63E00	3.7E-02	NaN	MAPK3,MEF2C,RAP1A	
ERK/MAPK Signaling	1.62E00	2.33E-02	-2.236	ETS1,ETS2,H3-3A/H3-3B,MAPK3,RAP1A	
Dopamine Degradation	1.61E00	6.25E-02	NaN	ALDH2,MAOA	
Estrogen-Dependent Breast Cancer Signaling	1.61E00	3.66E-02	NaN	JUN,MAPK3,RAP1A	
JAK/STAT Signaling	1.61E00	3.66E-02	NaN	JUN,MAPK3,RAP1A	
Activation of NMDA receptors and postsynaptic events	1.58E00	3.57E-02	NaN	MAPK3,TUBA1A,TUBB4B	
Integrin cell surface interactions	1.57E00	3.53E-02	NaN	BSG,ICAM2,KDR	
LPS-stimulated MAPK Signaling	1.57E00	3.53E-02	NaN	JUN,MAPK3,RAP1A	
BAG2 Signaling Pathway	1.57E00	3.53E-02	NaN	MAPK3,PSMB6,PSMD8	
4-1BB Signaling in T Lymphocytes	1.56E00	5.88E-02	NaN	JUN,MAPK3	
Inhibition of Angiogenesis by TSP1	1.56E00	5.88E-02	NaN	JUN,KDR	
Semaphorin Neuronal Repulsive Signaling Pathway	1.56E00	2.67E-02	-2.000	NRP1,PDE4B,SEMA6A,SEMA6D	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.56E00	3.49E-02	NaN	IFIT3,IFNAR1,IFNAR2	
NAD Signaling Pathway	1.55E00	2.65E-02	NaN	LDHA,POLR2E,SIRT7,TGFB2	
IL-17A Signaling in Fibroblasts	1.55E00	3.45E-02	NaN	CXCL12,JUN,MAPK3	
Transcriptional regulation by RUNX1	1.54E00	2.63E-02	-2.000	CLDN5,LMO2,PSMB6,PSMD8	
Neutrophil degranulation	1.54E00	1.68E-02	-2.828	ATP8A1,C1orf35,CTSC,PGAM1,PNP,RAP1A,TUBB,TUBB4B	
Phenylethylamine Degradation I	1.52E00	2.5E-01	NaN	ALDH2	
Melatonin Degradation II	1.52E00	2.5E-01	NaN	MAOA	
Rapoport-Luebering Glycolytic Shunt	1.52E00	2.5E-01	NaN	PGAM1	
Relaxin Signaling	1.52E00	2.58E-02	NaN	JUN,MAPK3,PDE4B,RAP1A	
Noradrenaline and Adrenaline Degradation	1.5E00	5.41E-02	NaN	ALDH2,MAOA	
Ceramide Signaling	1.5E00	3.3E-02	NaN	JUN,MAPK3,RAP1A	
ABRA Signaling Pathway	1.48E00	3.26E-02	NaN	FOSB,JUND,MEF2C	
MAPK6/MAPK4 signaling	1.48E00	3.26E-02	NaN	JUN,PSMB6,PSMD8	
Aryl Hydrocarbon Receptor Signaling	1.48E00	2.52E-02	NaN	ALDH2,JUN,MAPK3,TGFB2	
Mitotic Metaphase and Anaphase	1.47E00	2.13E-02	-2.236	KIF2A,PSMB6,PSMD8,TUBA1A,TUBB4B	
ERBB Signaling	1.47E00	3.23E-02	NaN	JUN,MAPK3,RAP1A	
EPH-Ephrin signaling	1.46E00	3.19E-02	NaN	CLTB,EPHA4,TIAM1	
Prolactin Signaling	1.45E00	3.16E-02	NaN	JUN,MAPK3,RAP1A	
Phagosome Maturation	1.44E00	2.44E-02	NaN	CTSC,TUBA1A,TUBB,TUBB4B	
Arsenate Detoxification I (Glutaredoxin)	1.43E00	2E-01	NaN	PNP	
Creatine-phosphate Biosynthesis	1.43E00	2E-01	NaN	CKB	
Tetrapyrrole Biosynthesis II	1.43E00	2E-01	NaN	ALAS1	
Breast Cancer Regulation by Stathmin1	1.43E00	1.52E-02	-1.000	ADRB2,GPR155,JUN,MAPK3,RAP1A,TGFB2,TUBA1A,TUBB,TUBB4B	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	1.41E00	2.05E-02	-1.342	CTSC,CXCL12,MAPK3,TGFB2,TNFSF10	
UVA-Induced MAPK Signaling	1.41E00	3.06E-02	NaN	JUN,MAPK3,RAP1A	
CXCR4 Signaling	1.41E00	2.38E-02	-2.000	CXCL12,JUN,MAPK3,RAP1A	
VEGF Signaling	1.4E00	3.03E-02	NaN	KDR,MAPK3,RAP1A	
Assembly and cell surface presentation of NMDA receptors	1.38E00	4.65E-02	NaN	TUBA1A,TUBB4B	
Oncostatin M Signaling	1.38E00	4.65E-02	NaN	MAPK3,RAP1A	
Hepatic Fibrosis Signaling Pathway	1.37E00	1.65E-02	-1.890	JUN,KDR,MAPK3,RAP1A,SMAD7,TFRC,TGFB2	
MIF Regulation of Innate Immunity	1.36E00	4.55E-02	NaN	JUN,MAPK3	
Pyruvate Fermentation to Lactate	1.35E00	1.67E-01	NaN	LDHA	
Mouse Embryonic Stem Cell Pluripotency	1.35E00	2.88E-02	NaN	ID2,MAPK3,RAP1A	
RAR Activation	1.34E00	1.63E-02	-0.378	JUN,MAPK3,NR2F6,PDE4B,TGFB2,TNFSF10,TRIM24	
Carboxyterminal post-translational modifications of tubulin	1.34E00	4.44E-02	NaN	TUBA1A,TUBB4B	
IGF-1 Signaling	1.34E00	2.86E-02	NaN	JUN,MAPK3,RAP1A	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	1.32E00	4.35E-02	NaN	ETS2,NR2F6	
PPAR Signaling	1.32E00	2.8E-02	NaN	JUN,MAPK3,RAP1A	
Tight Junction Signaling	1.32E00	2.22E-02	NaN	CLDN5,JUN,TGFB2,TIAM1	
ISGylation Signaling Pathway	1.31E00	2.78E-02	NaN	IFNAR1,IFNAR2,IL10RB	
Signaling by VEGF	1.31E00	2.78E-02	NaN	CAV1,KDR,NRP1	
TYSND1 cleaves peroxisomal proteins	1.29E00	1.43E-01	NaN	SCP2	
Adenine and Adenosine Salvage III	1.29E00	1.43E-01	NaN	PNP	
Sleep REM Signaling Pathway	1.28E00	2.7E-02	NaN	MAPK3,TGFB2,TNFSF10	
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	1.27E00	4.08E-02	NaN	MAPK3,SMAD7	
PFKFB4 Signaling Pathway	1.27E00	4.08E-02	NaN	MAPK3,TGFB2	
Oxidative Phosphorylation	1.27E00	2.68E-02	NaN	COX5A,NDUFB11,UQCRFS1	
MicroRNA Biogenesis Signaling Pathway	1.27E00	2.14E-02	-2.000	MAPK3,POLR2E,RAP1A,TGFB2	
RNA Polymerase I Transcription	1.26E00	4E-02	NaN	MAPK3,POLR2E	
Melanoma Signaling	1.26E00	4E-02	NaN	MAPK3,RAP1A	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	1.25E00	2.63E-02	NaN	JUN,MAPK3,RAP1A	
RHO GTPase cycle	1.25E00	1.56E-02	-2.646	CAV1,CKB,SRGAP1,STK38,TFRC,TIAM1,VIM	
Sleep NREM Signaling Pathway	1.24E00	2.61E-02	NaN	ADRB2,MAPK3,RAP1A	
CDK5 Signaling	1.24E00	2.61E-02	NaN	FOSB,MAPK3,RAP1A	
Protein Ubiquitination Pathway	1.24E00	1.83E-02	NaN	PSMB6,PSMD8,SUGT1,UBE2G1,USP53	
TRAIL signaling	1.23E00	1.25E-01	NaN	TNFSF10	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	1.23E00	1.25E-01	NaN	PNP	
Chronic Myeloid Leukemia Signaling	1.22E00	1.8E-02	-1.342	JUN,MAPK3,RAP1A,TGFB2,TNFSF10	
Regulation of Apoptosis	1.21E00	3.77E-02	NaN	PSMB6,PSMD8	
Signaling by TGF-beta Receptor Complex	1.21E00	3.77E-02	NaN	SMAD7,TGFB2	
MSP-RON Signaling in Macrophages Pathway	1.21E00	2.52E-02	NaN	JUN,MAPK3,RAP1A	
p38 MAPK Signaling	1.2E00	2.5E-02	NaN	H3-3A/H3-3B,MEF2C,TGFB2	
Renin-Angiotensin Signaling	1.19E00	2.48E-02	NaN	JUN,MAPK3,RAP1A	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	1.19E00	3.64E-02	NaN	TUBA1A,TUBB4B	
Adrenergic Receptor Signaling Pathway (Enhanced)	1.18E00	2E-02	0.000	ADRB2,MAOA,TGFB2,TNFSF10	
PI3K/AKT Signaling	1.18E00	2E-02	NaN	IFNAR1,IL10RB,MAPK3,RAP1A	
Sphingosine and Sphingosine-1-phosphate Metabolism	1.18E00	1.11E-01	NaN	SGPP2	
Heme Biosynthesis II	1.18E00	1.11E-01	NaN	ALAS1	
CLEAR Signaling Pathway	1.18E00	1.75E-02	2.236	KDR,LAMTOR4,MAPK3,RAP1A,TGFB2	
Folate Signaling Pathway	1.17E00	3.57E-02	NaN	MAPK3,OGT	
Oxidative Ethanol Degradation III	1.17E00	3.57E-02	NaN	ALDH2,Cyp2d22	
EGF Signaling	1.17E00	3.57E-02	NaN	JUN,MAPK3	
CDX Gastrointestinal Cancer Signaling Pathway	1.17E00	1.98E-02	1.000	JUN,MAPK3,TGFB2,TNFSF10	
Ephrin Receptor Signaling	1.17E00	1.98E-02	NaN	CXCL12,EPHA4,MAPK3,RAP1A	
Intra-Golgi and retrograde Golgi-to-ER traffic	1.16E00	1.97E-02	-2.000	KIF2A,TUBA1A,TUBB4B,USE1	
Mitotic Prometaphase	1.16E00	1.97E-02	-2.000	KIF2A,TUBA1A,TUBB,TUBB4B	
CNTF Signaling	1.16E00	3.51E-02	NaN	MAPK3,RAP1A	
FAT10 Signaling Pathway	1.16E00	3.51E-02	NaN	PSMB6,PSMD8	
Coronavirus Pathogenesis Pathway	1.16E00	1.96E-02	0.000	IFNAR1,IFNAR2,JUN,MAPK3	
Gαs Signaling	1.15E00	2.38E-02	NaN	ADRB2,MAPK3,RAP1A	
Iron uptake and transport	1.15E00	3.45E-02	NaN	SLC40A1,TFRC	
Cancer Drug Resistance by Drug Efflux	1.15E00	3.45E-02	NaN	MAPK3,RAP1A	
Fc epsilon receptor (FCERI) signaling	1.14E00	1.94E-02	-2.000	JUN,MAPK3,PSMB6,PSMD8	
ROBO SLIT Signaling Pathway	1.14E00	2.36E-02	NaN	JUN,KDR,SRGAP1	
POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation	1.14E00	1E-01	NaN	HHEX	
Xenobiotic Metabolism Signaling	1.13E00	1.7E-02	NaN	ALDH2,HS3ST1,MAOA,MAPK3,RAP1A	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	1.13E00	2.34E-02	NaN	COX5A,NDUFB11,UQCRFS1	
Metabolism of polyamines	1.13E00	3.39E-02	NaN	PSMB6,PSMD8	
Interleukin-1 family signaling	1.13E00	2.33E-02	NaN	PELI1,PSMB6,PSMD8	
IL-6 Signaling	1.13E00	2.33E-02	NaN	JUN,MAPK3,RAP1A	
IL-8 Signaling	1.12E00	1.9E-02	-2.000	JUN,KDR,MAPK3,RAP1A	
NIK-->noncanonical NF-kB signaling	1.12E00	3.33E-02	NaN	PSMB6,PSMD8	
Endometrial Cancer Signaling	1.12E00	3.33E-02	NaN	MAPK3,RAP1A	
Retinoic acid Mediated Apoptosis Signaling	1.12E00	3.33E-02	NaN	IFNAR1,TNFSF10	
PCP (Planar Cell Polarity) Pathway	1.12E00	3.33E-02	NaN	JUN,JUND	
NCAM signaling for neurite out-growth	1.11E00	3.28E-02	NaN	MAPK3,PRNP	
Semaphorin Signaling in Neurons	1.11E00	3.28E-02	NaN	MAPK3,NRP1	
Oleate Biosynthesis II (Animals)	1.1E00	9.09E-02	NaN	Scd2	
UFMylation Signaling Pathway	1.1E00	3.23E-02	NaN	GPX4,H3-3A/H3-3B	
P2Y Purigenic Receptor Signaling Pathway	1.09E00	2.26E-02	NaN	JUN,MAPK3,RAP1A	
Autophagy	1.08E00	1.84E-02	0.000	JUN,MAPK3,SLC3A2,TGFB2	
Mitochondrial biogenesis	1.07E00	3.12E-02	NaN	ALAS1,MEF2C	
Autism Signaling Pathway	1.07E00	1.62E-02	-2.236	ALDH2,MAPK3,RAP1A,TGFB2,TNFSF10	
Hedgehog ligand biogenesis	1.06E00	3.08E-02	NaN	PSMB6,PSMD8	
Tryptophan catabolism	1.06E00	8.33E-02	NaN	SLC3A2	
Iron homeostasis signaling pathway	1.06E00	2.17E-02	NaN	MAPK3,SLC40A1,TFRC	
White Adipose Tissue Browning Pathway	1.06E00	2.17E-02	NaN	KDR,LDHA,SLC16A1	
