© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
BAG2 Signaling Pathway	2.69E01	4.47E-01	-1.508	ANXA2,CDKN1A,HSP90AA1,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA5,HSPA8,MAPK3,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,SEM1,STUB1	
Sirtuin Signaling Pathway	2.65E01	2.3E-01	2.236	ATG101,BAX,GABARAP,GABARAPL2,GADD45B,GADD45G,H3-3A/H3-3B,JUN,LDHA,MAP1LC3A,MAP1LC3B,MAPK3,NDUFA1,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB2,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFS2,NDUFS3,NDUFS7,NDUFV1,NDUFV2,NDUFV3,NFE2L2,NR1H2,PGAM1,POLR1D,POLR2F,PPID,SDHB,SDHD,SLC25A4,SLC25A5,TIMM13,TIMM17A,TIMM23,TIMM50,TIMM8B,TOMM20,TOMM22,TOMM40,TOMM6,TOMM7,TSPO,TUBA1A,TUBA1B,TUBA1C,UQCRFS1,VDAC1,VDAC2,VDAC3	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	2.63E01	3.52E-01	-6.708	COX20,COX4I1,COX5A,COX6B1,COX7A2L,COX8A,CYCS,NDUFA1,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB2,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFC2,NDUFS2,NDUFS3,NDUFS7,NDUFV1,NDUFV2,NDUFV3,SDHB,SDHD,SURF1,UQCR10,UQCR11,UQCRB,UQCRC1,UQCRFS1,UQCRHL,UQCRQ	
NIK-->noncanonical NF-kB signaling	2.58E01	5.33E-01	-5.657	NEDD8,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,UBC,UBE2M	
Mitochondrial Dysfunction	2.57E01	2.09E-01	6.053	ATF4,BAD,BAX,BBC3,Calm1 (includes others),COX17,COX4I1,COX5A,COX6B1,Cox6c,COX7A2,COX7A2L,COX8A,CREB3,CYB5A,CYCS,FIS1,GPX1,GPX4,GSTM2,MGST3,NDUFA1,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB2,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFS2,NDUFS3,NDUFS7,NDUFV1,NDUFV2,NDUFV3,NFE2L2,PARK7,PDHB,PRDX6,PRKAB1,PRKAR1A,PSENEN,SDHB,SDHD,SURF1,TOMM20,TOMM22,TOMM40,TOMM7,UQCR10,UQCR11,UQCRB,UQCRC1,UQCRFS1,UQCRHL,UQCRQ,VDAC1,VDAC2,VDAC3	
Regulation of Apoptosis	2.53E01	5.66E-01	-5.477	PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,UBC	
Huntington's Disease Signaling	2.48E01	2.25E-01	-1.941	AP2A2,ATF4,BAX,CLTA,CLTB,CREB3,CYCS,GNA11,GNB2,GNG11,GNG5,HRAS,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA5,HSPA8,JUN,MAPK3,NAPA,POLR2C,POLR2E,POLR2F,POLR2G,POLR2I,POLR2J,POLR2K,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SDHB,SDHD,SEM1,SGK1,Ubb,UBC,UBE2S,VAMP3,VTI1B	
Metabolism of polyamines	2.48E01	5.25E-01	-5.568	AMD1,OAZ1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,SAT1,SEM1	
Cellular response to hypoxia	2.44E01	4.53E-01	-5.831	EGLN2,ELOC,HIGD1A,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,UBC,UBE2D3	
FAT10 Signaling Pathway	2.4E01	5.26E-01	NaN	MAP1LC3B,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,SEM1,SQSTM1	
TNFR2 non-canonical NF-kB pathway	2.36E01	4.71E-01	-5.657	PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,TNFRSF12A,TNFSF12,UBC	
mTOR Signaling	2.27E01	2.48E-01	-3.051	Cdc42,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3M,EIF4A1,EIF4A3,EIF4E,EIF4EBP1,FAU,FKBP1A,HRAS,MAPK3,PPP2R2D,PRKAB1,RASD1,RHEB,RHOA,RHOB,RHOC,RHOG,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,RRAS	
Signaling by NOTCH4	2.26E01	4.1E-01	-5.831	HES1,HEY1,PSENEN,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,SNW1,UBC	
KEAP1-NFE2L2 pathway	2.21E01	3.85E-01	-5.916	CDKN1A,CSNK2B,MAP1LC3B,NFE2L2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,SQSTM1,UBC	
Protein Ubiquitination Pathway	2.19E01	2.16E-01	NaN	ANAPC11,BAG1,DNAJA1,DNAJB11,DNAJB2,ELOC,HLA-A,HLA-E,HLA-G,HSP90AA1,HSP90AB1,HSP90B1,HSPA14,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPB1,HSPD1,HSPE1,HSPH1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,STUB1,TAP2,Ubb,UBC,UBE2A,UBE2B,UBE2D3,UBE2G2,UBE2I,UBE2M,UBE2S	
Hedgehog ligand biogenesis	2.19E01	4.62E-01	-5.477	PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,UBC	
Regulation of eIF4 and p70S6K Signaling	2.16E01	2.61E-01	-2.000	EIF2B4,EIF2S2,EIF3E,EIF3F,EIF3G,EIF3H,EIF3I,EIF3J,EIF3K,EIF3M,EIF4A1,EIF4A3,EIF4E,EIF4EBP1,FAU,HRAS,MAPK3,PAIP2,PPP2R2D,RASD1,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS26,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,RRAS	
Regulation of mitotic cell cycle	2.16E01	3.86E-01	-5.831	ANAPC11,BUB3,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,PTTG1,RPS27A,SEM1,UBC,UBE2S	
Hedgehog 'off' state	2.15E01	3.36E-01	-5.477	GNAS,PRKAR1A,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,TUBA1A,TUBA1B,TUBA1C,TUBB2A,TUBB2B,TUBB4B,UBC	
Mitochondrial translation	2.12E01	3.65E-01	-5.916	AURKAIP1,CHCHD1,GADD45GIP1,MRPL12,MRPL15,MRPL17,MRPL18,MRPL22,MRPL24,MRPL30,MRPL33,MRPL35,MRPL38,MRPL4,MRPL43,MRPL44,MRPL53,MRPL54,MRPL58,MRPL9,MRPS12,MRPS14,MRPS16,MRPS17,MRPS18A,MRPS18B,MRPS18C,MRPS21,MRPS23,MRPS24,MRPS26,MRPS30,MRPS6,MRPS7,TSFM	
Regulation of RUNX2 expression and activity	2.12E01	4.25E-01	-5.568	PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,STUB1,UBC	
MAPK6/MAPK4 signaling	2.09E01	3.7E-01	-2.000	CDC42EP2,CDC42EP3,HSPB1,JUN,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,UBC	
Mitotic Metaphase and Anaphase	1.99E01	2.21E-01	-7.211	ANAPC11,BUB3,CHMP2A,CHMP6,DYNLL1,EMD,IST1,LMNA,NDEL1,NUDC,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,PTTG1,RAN,RPS27A,SEC13,SEM1,SUMO1,TUBA1A,TUBA1B,TUBA1C,TUBB2A,TUBB2B,TUBB4B,UBC,UBE2I,UBE2S	
PTEN Regulation	1.94E01	2.73E-01	-5.284	CSNK2B,JUN,LAMTOR2,LAMTOR3,MAPK3,MBD3,PHC2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RHEB,RPS27A,RRAGA,SEM1,STUB1,UBC,VAPA	
Mitotic G2-G2/M phases	1.92E01	2.36E-01	-6.856	CDKN1A,CETN2,CSNK1E,DCTN2,DCTN3,DYNLL1,HSP90AA1,HSP90AB1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,SSNA1,TUBA1A,TUBA1B,TUBA1C,TUBB,TUBB2A,TUBB2B,TUBB4B,UBC,YWHAE	
Estrogen Receptor Signaling	1.91E01	1.69E-01	-4.110	ATF4,BAD,CAV1,CDK8,CDKN1A,CFL1,CFL2,CREB3,DDX5,EIF2B4,EIF4E,EIF4EBP1,FOS,GNA11,GNAI2,GNAS,GNB2,GNG11,GNG5,GPER1,HES1,HRAS,HSP90AA1,HSP90AB1,HSP90B1,JUN,MAPK3,MED10,MED21,MMP15,MYL12A,MYL12B,MYL6,NDUFA11,NDUFA12,NDUFA13,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFAB1,NDUFB10,NDUFB11,NDUFB2,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFS2,NDUFS3,NDUFS7,NDUFV1,NDUFV2,NDUFV3,PDIA3,PRKAB1,PRKAR1A,RASD1,RHOA,RRAS,SDHB,SDHD,SRA1,UQCRFS1	
Transcriptional regulation by RUNX3	1.91E01	3.44E-01	-5.657	CDKN1A,HES1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,SNW1,UBC	
Degradation of beta-catenin by the destruction complex	1.77E01	3.37E-01	-5.568	PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,TLE5,UBC	
Hedgehog 'on' state	1.77E01	3.49E-01	-5.477	PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,UBC	
Microautophagy Signaling Pathway	1.74E01	2.5E-01	-6.245	CHMP2A,CHMP5,CHMP6,HSPA8,MAP1LC3A,MAP1LC3B,PRKAB1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,SEC13,SQSTM1,TOMM20,VAMP8,VPS28,VPS37B	
Signaling by ROBO receptors	1.72E01	2.93E-01	-5.831	ELOC,PFN1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RHOA,RPS27A,SEM1,UBC,VASP	
DNA Replication Pre-Initiation	1.69E01	3.08E-01	-5.657	ANAPC11,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RPS27A,SEM1,UBC,UBE2S	
Neddylation	1.67E01	1.99E-01	-7.000	BTBD6,CDKN1A,COMMD3,COMMD4,COMMD8,COPS5,COPS8,DCUN1D5,ELOC,FBXO22,NAE1,NEDD8,NFE2L2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD10,PSMD11,PSMD12,PSMD13,PSMD6,PSMD8,PSME1,RNF7,RPS27A,SEM1,SOCS2,SPSB3,SQSTM1,UBC,UBE2D3,UBE2M	
Processing of Capped Intron-Containing Pre-mRNA	1.66E01	1.85E-01	-7.280	BCAS2,CCDC12,CWC15,DDX39B,DDX5,EIF4A3,EIF4E,FAM32A,HNRNPA2B1,HNRNPF,HNRNPK,HNRNPM,HSPA8,LSM2,LSM3,LSM5,PCBP1,PHF5A,POLR2C,POLR2E,POLR2F,POLR2G,POLR2I,POLR2J,POLR2K,PPIE,RBM22,RBM42,RBM7,RBM8A,SAP18,SARNP,SEC13,SF3B4,SF3B6,SMNDC1,SNRNP27,SNRPB,SNRPD1,SNRPD3,SNRPF,SNU13,SNW1,SRSF2,SRSF3,SRSF7,SRSF9,SYF2,TXNL4A,UBL5,YBX1,ZCRB1,ZMAT5	
