© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Gap Junction Signaling	8.27E00	1.2E-01	1.441	ADCY9,AKT3,CREB3L2,CREBBP,CSNK1G1,DLG1,GNAQ,ITPR1,ITPR2,ITPR3,LEF1,LRP5,LRP6,MAP2K4,MAP2K5,MAP3K2,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLA2G4A,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,PRKG1,PTPRM,SMAD5,SMARCC2,SOS2,TCF4,TCF7L1,TCF7L2,TJP1	
HGF Signaling	8.11E00	1.74E-01	4.472	AKT3,DOCK1,ELF2,ETS1,GAB1,ITGA1,MAP2K4,MAP3K1,MAP3K2,MAP3K3,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,PTK2,RAPGEF1,SOS2,STAT3	
Hepatic Fibrosis Signaling Pathway	7.79E00	1.06E-01	5.191	ACVR1,AKT3,APC,BMPR2,BRAF,CACNA1A,CREB3L2,CREBBP,CSNK1G1,FLT1,FLT4,FOXO1,FZD6,IRAK3,ITGA1,LEF1,LRP5,LRP6,MAP2K4,MAP2K5,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,PTEN,PTK2,ROCK1,SOS2,STAT3,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,TGFBR3,TRPM7,VEGFC,VEGFD,YAP1	
Role of Tissue Factor in Cancer	7.79E00	1.4E-01	4.271	ACVR1,AKT3,BCL2L1,BMPR2,BRAF,FLT1,FLT4,GNAQ,MAP2K4,MAP2K5,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,Ppp2r5c,PPP2R5E,PTEN,PTK2,RB1,RBL2,RPS6KA3,RPS6KA5,TGFB2,TGFBR2,TGFBR3,VEGFC,YES1,ZEB1	
Myelination Signaling Pathway	7.69E00	1.16E-01	3.893	ACVR1,AKT3,APC,ARHGAP35,ARHGAP5,BMPR2,BRAF,CREB3L2,CREBBP,FZD6,HDAC4,HDAC7,HDAC8,IGF1R,LAMA3,LAMA4,LAMB2,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PPP3CA,PPP3CC,PTEN,PTK2,RAPGEF2,ROCK1,RPTOR,SLC16A1,SMAD5,SMARCA4,SOS2,TCF4,TCF7L2,YES1,ZEB2	
Pancreatic Secretion Signaling Pathway	7.69E00	1.3E-01	5.303	ADCY9,AKT3,ARHGEF10,ARHGEF11,ARHGEF12,ARHGEF3,ARHGEF9,ATP2B4,GNAQ,ITPR1,ITPR2,ITPR3,LIPE,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP1R12A,PRKCE,PRKCH,PRKCI,PRKD3,ROCK1,RPTOR,STIM1,STXBP5,STXBP6,VTI1A,WNK1	
PTEN Signaling	7.62E00	1.59E-01	-3.578	AKT3,BCL2L1,BMPR2,CBL,FLT1,FLT4,FOXO1,FOXO3,GHR,IGF1R,INPP5F,INSR,ITGA1,MAGI1,MAGI3,PIK3CA,PIK3R1,PIK3R3,PREX2,PTEN,PTK2,SOS2,TGFBR2,TGFBR3	
Signaling by VEGF	7.6E00	1.85E-01	4.123	AKT3,CTNNA1,DOCK1,ELMO1,FLT1,FLT4,ITPR1,ITPR2,ITPR3,MAPKAP1,NCKAP1,NRP1,PIK3CA,PIK3R1,PLCG1,PTK2,RICTOR,ROCK1,VEGFC,VEGFD	
DNA Methylation and Transcriptional Repression Signaling	7.59E00	1.94E-01	2.673	ARID4B,CDK12,CDK13,CDK14,CDK19,CDK6,CHD4,DNMT3A,RB1,RBL2,SAP130,SIN3A,TCF12,TCF20,TCF23,TCF4,TET2,TET3,ZEB1	
Beta-catenin independent WNT signaling	7.3E00	1.86E-01	2.000	AGO1,AGO3,CLTC,FZD6,GNG12,ITPR1,ITPR2,ITPR3,LEF1,NLK,PLCB1,PPP3CA,PRKG1,SMURF1,SMURF2,TCF7L1,TCF7L2,TNRC6B,TNRC6C	
Glioma Signaling	7.18E00	1.68E-01	3.207	AKT3,CDK6,HDAC4,HDAC7,HDAC8,IGF1R,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,PTEN,RB1,RBL2,SIN3A,SOS2	
VEGF Family Ligand-Receptor Interactions	7.15E00	2.02E-01	4.000	AKT3,FLT1,FLT4,NRP1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLA2G4A,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,SOS2,VEGFC,VEGFD	
Non-Small Cell Lung Cancer Signaling	7.14E00	1.91E-01	2.714	AKT3,CDK6,FOXO3,HDAC4,HDAC7,HDAC8,ITPR1,ITPR2,ITPR3,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,RB1,RBL2,SIN3A,SOS2	
Thrombin Signaling	6.98E00	1.29E-01	4.379	ADCY9,AKT3,ARHGEF10,ARHGEF11,ARHGEF12,ARHGEF28,ARHGEF3,ARHGEF9,GNAQ,GNG12,ITPR1,ITPR2,ITPR3,MPRIP,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP1R12A,Ppp1r12b,PRKCE,PRKCH,PRKCI,PRKD3,PTK2,ROCK1	
ID1 Signaling Pathway	6.91E00	1.34E-01	3.272	ACVR1,AKT3,APP,ATF6,BCL2L1,BMPR2,BRAF,CREBBP,ETS1,FN1,FOXO3,IGF1R,LIFR,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PTEN,SMAD5,STAT3,TGFB2,TGFBR2,TGFBR3,VEGFC,VEGFD,YES1,ZNF148	
AMPK Signaling	6.82E00	1.24E-01	1.807	ACACA,ACACB,AKT3,ARID1A,ARID2,CPT1A,CREB3L2,CREBBP,FOXO1,FOXO3,GNAQ,GNG12,INSR,KAT2B,LIPE,PBRM1,PHLPP1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PPM1H,PPM1L,PPP2R5E,RPTOR,SIRT1,SMARCA2,SMARCA4,SMARCC2,STIM1	
Sperm Motility	6.76E00	1.21E-01	3.606	ABL2,DSTYK,DYRK1A,EPHA3,EPHA4,FER,FLT1,FLT4,GNAQ,GNG12,IGF1R,INSR,ITPR1,ITPR2,ITPR3,MAP2K4,MAP2K5,MERTK,PEAK1,PLA2G4A,PLCB1,PLCB4,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,PRKG1,PTK2,TEK,YES1	
CLEAR Signaling Pathway	6.73E00	1.16E-01	0.180	AKT3,ATP6V0A1,BMPR2,CREB3L2,CREBBP,DEPDC5,FLT1,FLT4,FNIP1,GHR,IGF1R,INSR,ITPR1,ITPR2,ITPR3,MAP4K3,MID1,PLCG1,PPM1L,PPP2R5E,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,PRKN,RPTOR,TGFB2,TGFBR2,TGFBR3,UVRAG,WDR59	
Regulation of the Epithelial-Mesenchymal Transition Pathway	6.62E00	1.33E-01	NaN	AKT3,APC,BRAF,ETS1,FRS2,FZD6,GAB1,LEF1,MAP2K4,MAP2K5,NOTCH4,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,SMURF1,SOS2,STAT3,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,ZEB1,ZEB2	
Ribonucleotide Reductase Signaling Pathway	6.58E00	1.4E-01	3.674	AKT3,ARID1A,ARID2,BRAF,BTRC,CDK6,CREB3L2,CREBBP,FOXO3,MAP2K4,PARP14,PBRM1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,RB1,RPTOR,SETD2,SMARCA2,SMARCA4,SMARCC2,STAT3,TNKS	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	6.53E00	1.08E-01	NaN	AKT3,APC,CREB3L2,CREBBP,CSNK1G1,FN1,FZD6,GNAQ,IRAK3,LEF1,LRP5,LRP6,MAP2K4,NFAT5,NLK,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,ROCK1,STAT3,TCF4,TCF7L1,TCF7L2,VEGFC,VEGFD	
Docosahexaenoic Acid (DHA) Signaling	6.51E00	1.2E-01	5.112	ADCY9,AKT3,APP,BCL2L1,BRAF,CREB3L2,CREBBP,FOXO1,GNAQ,ITPR1,ITPR2,ITPR3,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLA2G4A,PLCB1,PLCB4,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,RPTOR,SPTBN1,STXBP5,STXBP6,SYT7,TGFB2	
Netrin Signaling	6.48E00	1.39E-01	4.491	ABLIM1,AKT3,CACNA1A,DOCK1,ENAH,ITPR1,ITPR2,ITPR3,NFAT5,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,PRKG1,PTK2,TRIO,VTI1A	
Mouse Embryonic Stem Cell Pluripotency	6.45E00	1.73E-01	3.771	AKT3,APC,BMPR2,CREBBP,FZD6,LEF1,LIFR,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,SMAD5,SOS2,STAT3,TCF4,TCF7L1,TCF7L2,XIAP	
Circadian Rhythm Signaling	6.35E00	1.16E-01	NaN	ADCY9,BRAF,BTRC,CACNA1A,CREB3L2,CREBBP,DBP,GNAQ,GNG12,HLF,ITPR1,ITPR2,ITPR3,MAP2K4,MAP2K5,NR1D1,NR1D2,PLCB1,PLCB4,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,PRKG1,RORA,RPS6KA5,RPTOR,SIRT1,SMARCC2,YES1	
EGF Signaling	6.34E00	2.32E-01	3.606	AKT3,ITPR1,ITPR2,ITPR3,MAP2K4,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,SOS2,STAT3	
MSP-RON Signaling in Cancer Cells Pathway	6.32E00	1.5E-01	4.359	AKT3,ARNT,BRAF,CREB3L2,CREBBP,ELF2,ETS1,LEF1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PTK2,RPS6KA3,SOS2,STAT3,TCF4,TCF7L1,TCF7L2,VEGFC,VEGFD	
Pulmonary Fibrosis Idiopathic Signaling Pathway	6.3E00	1.07E-01	4.564	ACVR1,AKT3,BMPR2,BRAF,CREBBP,EFNB2,FN1,FOXO1,FOXO3,FZD6,JARID2,LEF1,MAP2K4,NOTCH4,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PRKN,PTEN,PTK2,ROCK1,RPS6KA3,RPS6KA5,SOS2,STAT3,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,TGFBR3,WWTR1,YAP1	
Nitric Oxide Signaling in the Cardiovascular System	6.15E00	1.58E-01	3.900	AKT3,CACNA1A,FLT1,FLT4,ITPR1,ITPR2,ITPR3,PDE5A,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PRKCE,PRKCH,PRKCI,PRKD3,PRKG1,VEGFC,VEGFD	
CXCR4 Signaling	6.13E00	1.37E-01	4.025	ADCY9,AKT3,ARHGEF11,DOCK1,ELMO1,GNAQ,GNG12,ITPR1,ITPR2,ITPR3,MAP2K4,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKCE,PRKCH,PRKCI,PRKD3,PTK2,ROCK1	
Renin-Angiotensin Signaling	6.09E00	1.57E-01	4.123	ADCY9,GNAQ,ITPR1,ITPR2,ITPR3,MAP2K4,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,PTK2,SOS2,STAT3	
Serotonin Receptor Signaling	6.09E00	9.38E-02	5.126	ADCY9,AKT3,APP,ARFGEF1,BRAF,CACNA1A,CREB3L2,CREBBP,FOXO1,FOXO3,GNAQ,GNG12,KALRN,LIPE,MAOA,MAP2K4,MAP2K5,MPRIP,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLA2G4A,PLCB1,PLCB4,PLCG1,PLD1,PPP1R12A,Ppp1r12b,PRKCE,PRKCH,PRKCI,PRKD3,RB1,RBL2,ROCK1,RPS6KA3,SHANK3,STAT3,STIM1,TGFB2,VWF,YAP1,YES1	
VEGF Signaling	6.07E00	1.72E-01	3.742	AKT3,ARNT,BCL2L1,FLT1,FLT4,FOXO1,FOXO3,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PTK2,ROCK1,SOS2,VEGFC,VEGFD	
CCR3 Signaling in Eosinophils	6.01E00	1.49E-01	3.317	GNAQ,GNG12,ITPR1,ITPR2,ITPR3,MPRIP,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLA2G4A,PLCB1,PLCB4,PPP1R12A,Ppp1r12b,PRKCE,PRKCH,PRKCI,PRKD3,ROCK1	
IL-3 Signaling	6.01E00	1.9E-01	3.357	AKT3,FOXO1,GAB2,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,RAPGEF1,STAT3	
Glioblastoma Multiforme Signaling	6E00	1.35E-01	2.683	AKT3,APC,CDK6,FOXO1,FZD6,IGF1R,ITPR1,ITPR2,ITPR3,LEF1,NF1,NF2,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PLCG1,PTEN,RB1,SOS2	
Orexin Signaling Pathway	5.95E00	1.18E-01	4.914	ADCY9,AKT3,ATP6V0A1,CACNA1A,FOXO1,GNAQ,GNG12,ITPR1,ITPR2,ITPR3,PI4KA,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PIKFYVE,PIP4K2A,PLA2G4A,PLCB1,PLCB4,PLCG1,PLD1,PRKCE,PRKCH,PRKCI,PRKD3,RPTOR,SMAD5	
Integrin Signaling	5.91E00	1.23E-01	3.838	AKT3,ARHGAP26,ARHGAP5,ASAP1,BRAF,DOCK1,ITGA1,MAP2K4,MPRIP,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PIKFYVE,PLCG1,PPP1R12A,Ppp1r12b,PTEN,PTK2,RAPGEF1,ROCK1,SOS2,TLN1,TLN2,TSPAN5,WIPF1	
Growth Hormone Signaling	5.85E00	1.97E-01	3.606	GHR,IGF1R,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,RPS6KA3,RPS6KA5,STAT3	
ILK Signaling	5.82E00	1.24E-01	3.130	AKT3,CREB3L2,CREBBP,DOCK1,FLNB,FN1,LEF1,MAP2K4,MYH10,MYH9,MYO10,MYO18A,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PPM1L,PPP1R12A,PPP2R5E,PTEN,PTK2,RICTOR,RPS6KA5,VEGFC,VEGFD	
Pancreatic Adenocarcinoma Signaling	5.81E00	1.51E-01	3.464	AKT3,BCL2L1,HDAC4,HDAC7,HDAC8,MAP2K4,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLD1,RB1,RBL2,SIN3A,STAT3,TGFB2,TGFBR2,VEGFC,VEGFD	
Reelin Signaling in Neurons	5.81E00	1.45E-01	4.243	AFDN,AKT3,APP,ARHGEF10,ARHGEF11,ARHGEF12,ARHGEF28,ARHGEF3,ARHGEF9,DNAH3,LRP8,MAP2K4,MAP2K5,MAPK8IP3,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,RAPGEF1,YES1	
Huntington's Disease Signaling	5.81E00	1.09E-01	2.683	AKT3,BCL2L1,CLTC,CREB3L2,CREBBP,DNAJC5,DNM3,GNAQ,GNG12,HDAC4,HDAC7,HDAC8,HIP1,IGF1R,ITPR1,MAP2K4,NCOR1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKCE,PRKCH,PRKCI,PRKD3,PSME4,SIN3A,SOS2,VTI1A	
ERK/MAPK Signaling	5.79E00	1.21E-01	3.545	BRAF,CREB3L2,CREBBP,DOCK1,ELF2,ETS1,ITGA1,KSR1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLA2G4A,PLCG1,PPM1L,PPP1R12A,PPP2R5E,PRKCE,PRKCI,PTK2,RAPGEF1,RPS6KA5,SOS2,STAT3,TLN1,TLN2	
Adipogenesis pathway	5.76E00	1.44E-01	-0.894	ACVR1,BMPR2,EBF1,FBXW7,FOXO1,FZD6,HDAC4,HDAC7,HDAC8,KAT2B,KAT6A,Kat6b,NR1D1,RB1,RUNX1T1,SAP130,SENP2,SIN3A,SIRT1,SMAD5	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	5.7E00	1.7E-01	3.500	AKT3,CBL,DOCK1,GAB2,PIK3R1,PIK3R3,PLCG1,PLD1,PRKCE,PRKCH,PRKCI,PRKD3,PTEN,TLN1,TLN2,YES1	
Regulation of lipid metabolism by PPARalpha	5.56E00	1.51E-01	3.051	ARNT,CDK19,CHD9,CPT1A,CREBBP,HMGCS2,MED13,MED13L,MED27,NCOA1,NCOA2,NCOR1,NR1D1,NRF1,RORA,SIN3A,TBL1X,THRAP3	
FGF Signaling	5.52E00	1.74E-01	3.742	AKT3,CREB3L2,CREBBP,FRS2,GAB1,ITPR1,MAP3K1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,RPS6KA5,SOS2,STAT3	
NGF Signaling	5.51E00	1.5E-01	4.000	AKT3,CREB3L2,CREBBP,GAB1,MAP2K4,MAP3K1,MAP3K2,MAP3K3,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,ROCK1,RPS6KA3,RPS6KA5,SOS2,TRIO	
Opioid Signaling Pathway	5.47E00	1.07E-01	3.545	ADCY9,AKT3,BRAF,CACNA1A,CLTC,CREB3L2,CREBBP,GNAQ,GNG12,GRK5,ITPR1,ITPR2,ITPR3,LEF1,MAP2K4,MAP2K5,PLCB1,PPP3CA,PPP3CC,PRKCE,PRKCH,PRKCI,PRKD3,RPS6KA3,RPS6KA5,SOS2,TCF4,TCF7L1,TCF7L2,YES1	
Eicosanoid Signaling	5.47E00	1.07E-01	5.292	ABCC4,ADCY9,AKT3,AP1G1,BRAF,CREB3L2,CREBBP,ETS1,GNAQ,GNG12,LEF1,MAPKAP1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLA2G4A,PLCB1,PLCB4,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,RPS6KA3,TCF4,TCF7L1,TCF7L2,VEGFC,VEGFD	
Ovarian Cancer Signaling	5.45E00	1.33E-01	2.333	AKT3,APC,BRAF,FZD6,HDAC4,HDAC7,HDAC8,LEF1,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PTEN,RB1,RBL2,SIN3A,TCF4,TCF7L1,TCF7L2,VEGFC,VEGFD	
Aldosterone Signaling in Epithelial Cells	5.4E00	1.28E-01	4.359	DNAJC1,DNAJC13,DNAJC5,ITPR1,ITPR2,ITPR3,NR3C2,PI4KA,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PIKFYVE,PIP4K2A,PLCB1,PLCB4,PLCG1,PRKCE,PRKCH,PRKCI,PRKD3,SOS2	
Endocannabinoid Cancer Inhibition Pathway	5.38E00	1.36E-01	-2.982	ADCY9,AKT3,CREB3L2,CREBBP,GNAQ,LEF1,MAP2K4,MAP2K5,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PTK2,ROCK1,RPTOR,TCF4,TCF7L1,TCF7L2,VEGFC,VEGFD	
IL-15 Production	5.35E00	1.46E-01	4.243	ABL2,DSTYK,DYRK1A,EPHA3,EPHA4,FER,FLT1,FLT4,IGF1R,INSR,MAP2K4,MAP2K5,MERTK,PEAK1,PRKCI,PTK2,TEK,YES1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	5.32E00	1.14E-01	NaN	ACVR1,AKT3,APC,BMPR2,CBL,CSNK1G1,FOXO1,FZD6,LEF1,LRP5,LRP6,MAP2K4,NFAT5,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PPP3CA,PPP3CC,SMAD5,SMURF1,TAB2,TCF4,TCF7L1,TCF7L2,XIAP	
WNT/β-catenin Signaling	5.32E00	1.26E-01	0.894	ACVR1,AKT3,APC,APPL2,BMPR2,BTRC,CREBBP,CSNK1G1,FZD6,GNAQ,LEF1,LRP5,LRP6,NLK,PPM1L,PPP2R5E,TCF4,TCF7L1,TCF7L2,TGFB2,TGFBR2,TGFBR3	
Synaptogenesis Signaling Pathway	5.3E00	1.02E-01	4.747	ADCY9,AFDN,AKT3,BRAF,CADM1,CDH13,CLASP2,CREB3L2,CREBBP,DNAJC5,EFNB2,EPHA3,EPHA4,FARP1,ITPR1,ITSN2,KALRN,LRP8,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PLCG1,PRKCE,RAPGEF1,SOS2,STXBP5,STXBP6,SYT7,TLN1,VTI1A,YES1	
Human Embryonic Stem Cell Pluripotency	5.3E00	1.19E-01	4.491	ACVR1,AKT3,APC,BMPR2,BRAF,FOXO1,FZD6,LIFR,MAP2K4,MAP2K5,PDGFD,PIK3C2A,PIK3CA,PIK3R1,PIK3R3,PRKCE,PRKCH,PRKCI,PRKD3,SMAD5,SOS2,STAT3,TGFB2,TGFBR2	
RORA activates gene expression	5.29E00	3.89E-01	2.646	CHD9,CPT1A,CREBBP,NCOA1,NCOA2,RORA,TBL1X	
