© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Interferon alpha/beta signaling	2.64E00	5.63E-02	2.000	HLA-A,ISG15,RSAD2,SAMHD1	
ESR-mediated signaling	2.63E00	4.24E-02	1.342	FKBP5,HSP90AA1,HSP90AB1,RAD21,TNRC6C	
Aldosterone Signaling in Epithelial Cells	2.61E00	3.45E-02	NaN	DUSP1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPB1,HSPE1	
cAMP-mediated signaling	2.59E00	2.97E-02	0.816	AKAP12,DUSP1,DUSP6,PDE2A,PRKACB,RAPGEF4,S1PR1	
Cardiac β-adrenergic Signaling	2.54E00	3.33E-02	2.000	AKAP12,CACNA1E,PDE2A,PPP2R2D,PRKACB,PRKAG2	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	2.47E00	5.06E-02	2.000	HSP90AA1,HSP90AB1,ISG15,NFKBIA	
PPARα/RXRα Activation	2.38E00	3.09E-02	0.447	ADIPOR2,HSP90AA1,HSP90AB1,NFKBIA,PRKACB,PRKAG2	
BAG2 Signaling Pathway	2.36E00	4.71E-02	2.000	CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b	
Cardiac Hypertrophy Signaling	2.34E00	2.67E-02	2.646	CACNA1E,HSPB1,IGF1R,MAP3K6,PRKACB,PRKAG2,RHOB	
TP53 Regulates Transcription of Cell Death Genes	2.31E00	6.82E-02	NaN	FAS,NDRG1,TP53INP1	
PI3K/AKT Signaling	2.31E00	3E-02	1.342	BCL2L1,CDKN1A,HSP90AA1,HSP90AB1,NFKBIA,PPP2R2D	
Estrogen Receptor Signaling	2.3E00	2.19E-02	1.890	CACNA1E,CDK8,CDKN1A,HES1,HSP90AA1,HSP90AB1,IGF1R,PRKACB,PRKAG2	
Carnitine metabolism	2.29E00	1.43E-01	NaN	ACACB,PRKAG2	
Protein Ubiquitination Pathway	2.25E00	2.56E-02	NaN	B2M,HLA-A,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPB1,HSPE1	
MAPK6/MAPK4 signaling	2.24E00	4.35E-02	1.000	CCND3,HSPB1,PRKACB,TNRC6C	
Metabolism of nitric oxide: NOS3 activation and regulation	2.23E00	1.33E-01	NaN	HSP90AA1,NOSTRIN	
Hepatic Fibrosis Signaling Pathway	2.21E00	2.12E-02	0.000	CACNA1E,FZD4,IRAK2,KLF9,NFKBIA,PDCD4,PRKACB,PRKAG2,RHOB	
TP53 Regulates Transcription of Cell Cycle Genes	2.18E00	6.12E-02	NaN	BTG2,CDKN1A,RGCC	
PFKFB4 Signaling Pathway	2.18E00	6.12E-02	NaN	PRKACB,PRKAG2,XDH	
IL-1 Signaling	2.17E00	4.17E-02	2.000	IRAK2,NFKBIA,PRKACB,PRKAG2	
Salvage Pathways of Pyrimidine Ribonucleotides	2.16E00	4.12E-02	2.000	CDK8,DAPK1,HIPK1,MAP3K6	
ERK/MAPK Signaling	2.15E00	2.76E-02	0.816	DUSP1,DUSP6,HSPB1,PRKACB,PRKAG2,RAPGEF4	
Autophagy	2.15E00	2.76E-02	1.342	BNIP3,DAPK1,PPP2R2D,PRKACB,PRKAG2,SLC7A5	
Molecular Mechanisms of Cancer	2.14E00	1.63E-02	2.673	ADGRF5,ADGRG1,BCL2L1,CCND3,CDKN1A,FAS,FZD4,HES1,NFKBIA,PRKACB,PRKAG2,RALBP1,RHOB,S1PR1	
Epithelial Adherens Junction Signaling	2.1E00	3.16E-02	1.000	IGF1R,NOTCH4,PPP2R2D,PRKAG2,TNS1	
G-Protein Coupled Receptor Signaling	2.03E00	1.7E-02	1.732	ADGRF5,ADGRG1,DUSP1,DUSP6,FZD4,MAP3K6,NFKBIA,PDE2A,PRKACB,PRKAG2,RAPGEF4,S1PR1	
CD27 Signaling in Lymphocytes	2E00	5.26E-02	NaN	BCL2L1,MAP3K6,NFKBIA	
PD-1, PD-L1 cancer immunotherapy pathway	1.98E00	3.67E-02	-1.000	B2M,BCL2L1,HLA-A,PDCD4	
Osteoarthritis Pathway	1.98E00	2.54E-02	0.000	DDIT4,EPAS1,FZD4,HES1,PRKAG2,TIMP3	
Interleukin-4 and Interleukin-13 signaling	1.97E00	3.64E-02	2.000	BCL2L1,CDKN1A,HSP90AA1,S1PR1	
Telomerase Signaling	1.97E00	3.64E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,PPP2R2D	
Metabolism of water-soluble vitamins and cofactors	1.96E00	5.08E-02	NaN	ACACB,PDXK,SLC2A1	
Autism Signaling Pathway	1.96E00	2.26E-02	1.134	B2M,CACNA1E,FZD4,HLA-A,IGF1R,PRKACB,PRKAG2	
NRF2-mediated Oxidative Stress Response	1.95E00	2.51E-02	NaN	ENC1,FKBP5,HSP90AA1,HSP90AB1,MAFF,STIP1	
Glioblastoma Multiforme Signaling	1.94E00	2.89E-02	1.000	CCND3,CDKN1A,FZD4,IGF1R,RHOB	
AMPK Signaling	1.93E00	2.48E-02	0.447	ACACB,CDKN1A,PPP2R2D,PRKACB,PRKAG2,SLC2A1	
Semaphorin Signaling in Neurons	1.92E00	4.92E-02	NaN	PLXNA2,RHOB,SEMA7A	
Chaperone Mediated Autophagy	1.9E00	9.09E-02	NaN	HSP90AA1,HSP90AB1	
Prostate Cancer Signaling	1.89E00	3.45E-02	NaN	CDKN1A,HSP90AA1,HSP90AB1,NFKBIA	
RAF-independent MAPK1/3 activation	1.86E00	8.7E-02	NaN	DUSP1,DUSP6	
Vitamin-C Transport	1.86E00	8.7E-02	NaN	LRRC8A,SLC2A1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.86E00	3.39E-02	2.000	CACNA1E,PRKACB,PRKAG2,RAPGEF4	
PXR/RXR Activation	1.85E00	4.62E-02	NaN	HMGCS2,PRKACB,PRKAG2	
Induction of Apoptosis by HIV1	1.85E00	4.62E-02	NaN	BCL2L1,FAS,NFKBIA	
p38 MAPK Signaling	1.84E00	3.33E-02	1.000	DUSP1,FAS,HSPB1,IRAK2	
Regulation of RUNX1 Expression and Activity	1.83E00	8.33E-02	NaN	CCND3,TNRC6C	
Neuroprotective Role of THOP1 in Alzheimer's Disease	1.83E00	3.31E-02	NaN	HLA-A,PRKACB,PRKAG2,PRSS23	
Protein Kinase A Signaling	1.81E00	1.95E-02	0.000	AKAP12,DUSP1,DUSP6,NFKBIA,PDE2A,PRKACB,PRKAG2,PTPN14	
Glycine Degradation (Creatine Biosynthesis)	1.81E00	5E-01	NaN	GATM	
NOD1/2 Signaling Pathway	1.79E00	2.65E-02	1.342	HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,NFKBIA	
ROBO SLIT Signaling Pathway	1.76E00	3.15E-02	2.000	CDKN1A,HES1,PRKACB,PRKAG2	
Integrin signaling	1.73E00	7.41E-02	NaN	RAPGEF4,RASGRP2	
Ferroptosis Signaling Pathway	1.71E00	3.05E-02	0.000	ANGPTL4,CDKN1A,HSPB1,PRKAG2	
Extra-nuclear estrogen signaling	1.71E00	4.11E-02	NaN	HSP90AA1,HSPB1,IGF1R	
Natural Killer Cell Signaling	1.69E00	2.5E-02	0.447	B2M,HLA-A,HSPA1A/HSPA1B,Hspa1b,MAP3K6	
Hypoxia Signaling in the Cardiovascular System	1.67E00	3.95E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA	
Nucleotide catabolism	1.64E00	6.67E-02	NaN	SAMHD1,XDH	
Lactose synthesis	1.64E00	3.33E-01	NaN	SLC2A1	
Biotin-carboxyl Carrier Protein Assembly	1.64E00	3.33E-01	NaN	ACACB	
GABAergic Receptor Signaling Pathway (Enhanced)	1.63E00	2.88E-02	-1.000	CACNA1E,PRKACB,PRKAG2,SLC38A3	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.62E00	3.8E-02	NaN	BCL2L1,HSP90AA1,HSP90AB1	
Sonic Hedgehog Signaling	1.62E00	6.45E-02	NaN	PRKACB,PRKAG2	
CLEAR Signaling Pathway	1.61E00	2.11E-02	1.342	BNIP3,CASTOR1,DDIT4,IGF1R,PPP2R2D,PRKAG2	
G alpha (12/13) signalling events	1.61E00	3.75E-02	NaN	MCF2L,NET1,RHOB	
Dopamine Receptor Signaling	1.61E00	3.75E-02	NaN	PPP2R2D,PRKACB,PRKAG2	
HIF1α Signaling	1.6E00	2.37E-02	0.447	CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,SLC2A1	
IL-8 Signaling	1.6E00	2.36E-02	2.000	BCL2L1,CCND3,IRAK2,NFKBIA,RHOB	
RIPK1-mediated regulated necrosis	1.59E00	6.25E-02	NaN	FAS,HSP90AA1	
BEX2 Signaling Pathway	1.58E00	3.66E-02	NaN	CDKN1A,NFKBIA,PPP2R2D	
Sirtuin Signaling Pathway	1.57E00	2.05E-02	0.000	DUSP6,EPAS1,HMGCS2,NDRG1,SLC2A1,UCP2	
Transcriptional regulation of white adipocyte differentiation	1.56E00	3.57E-02	NaN	ANGPTL4,CCND3,CDK8	
Cyclins and Cell Cycle Regulation	1.54E00	3.53E-02	NaN	CCND3,CDKN1A,PPP2R2D	
Endocannabinoid Cancer Inhibition Pathway	1.53E00	2.68E-02	0.000	CCND3,CDKN1A,PRKACB,PRKAG2	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.53E00	3.49E-02	NaN	ISG15,RSAD2,S1PR1	
Dilated Cardiomyopathy Signaling Pathway	1.52E00	2.67E-02	NaN	CACNA1E,PDE2A,PRKACB,PRKAG2	
Cellular Effects of Sildenafil (Viagra)	1.52E00	2.67E-02	NaN	CACNA1E,PDE2A,PRKACB,PRKAG2	
Xenobiotic Metabolism AHR Signaling Pathway	1.52E00	3.45E-02	NaN	ABCG2,HSP90AA1,HSP90AB1	
TP53 Regulates Metabolic Genes	1.5E00	3.41E-02	NaN	DDIT4,PRKAG2,TNRC6C	
Type II Diabetes Mellitus Signaling	1.5E00	2.61E-02	NaN	ADIPOR2,CACNA1E,NFKBIA,PRKAG2	
Factors involved in megakaryocyte development and platelet production	1.47E00	3.3E-02	NaN	DOCK9,MAFF,PRKACB	
Fcgamma receptor (FCGR) dependent phagocytosis	1.46E00	2.55E-02	2.000	ELMO1,HSP90AA1,HSP90AB1,WASF2	
Relaxin Signaling	1.46E00	2.55E-02	NaN	NFKBIA,PDE2A,PRKACB,PRKAG2	
Cell Cycle Regulation by BTG Family Proteins	1.45E00	5.26E-02	NaN	BTG2,PPP2R2D	
Notch Signaling	1.45E00	5.26E-02	NaN	HES1,NOTCH4	
Regulation of TP53 Activity through Phosphorylation	1.44E00	3.23E-02	NaN	HIPK1,PRKAG2,TP53INP1	
Antigen Presentation Pathway	1.43E00	5.13E-02	NaN	B2M,HLA-A	
Interferon gamma signaling	1.43E00	3.19E-02	NaN	B2M,GBP4,HLA-A	
Transmission across Electrical Synapses	1.42E00	2E-01	NaN	GJC1	
FasL/ CD95L signaling	1.42E00	2E-01	NaN	FAS	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	1.41E00	2.1E-02	0.447	MAP3K6,PPP2R2D,PRKACB,PRKAG2,SORBS1	
Death Receptor Signaling	1.41E00	3.12E-02	NaN	FAS,HSPB1,NFKBIA	
S100 Family Signaling Pathway	1.4E00	1.42E-02	3.317	ADGRF5,ADGRG1,AHNAK,CACNA1E,CDKN1A,FZD4,IRAK2,PLAT,PRKACB,PRKAG2,S1PR1	
Small Cell Lung Cancer Signaling	1.39E00	3.06E-02	NaN	BCL2L1,CCND3,NFKBIA	
p75 NTR receptor-mediated signalling	1.36E00	3E-02	NaN	MCF2L,NET1,NFKBIA	
ATM Signaling	1.36E00	3E-02	NaN	CDKN1A,NFKBIA,PPP2R2D	
Androgen Signaling	1.36E00	2.37E-02	NaN	CACNA1E,HSP90AA1,PRKACB,PRKAG2	
Neddylation	1.36E00	2.03E-02	2.236	CDKN1A,EPAS1,KLHL2,SPSB1,ZBTB16	
Myelination Signaling Pathway	1.36E00	1.83E-02	2.449	FZD4,IGF1R,NDRG1,PRKACB,PRKAG2,SLC2A1	
Oncostatin M Signaling	1.36E00	4.65E-02	NaN	EPAS1,TIMP3	
Creatine metabolism	1.34E00	1.67E-01	NaN	GATM	
TAK1-dependent IKK and NF-kappa-B activation	1.34E00	4.55E-02	NaN	IRAK2,NFKBIA	
Regulation of mRNA stability by proteins that bind AU-rich elements	1.34E00	4.55E-02	NaN	HSPA1A/HSPA1B,HSPB1	
Sumoylation Pathway	1.33E00	2.91E-02	NaN	FAS,NFKBIA,RHOB	
Docosahexaenoic Acid (DHA) Signaling	1.32E00	1.98E-02	1.342	BCL2L1,FAS,PNPLA2,PRKACB,PRKAG2	
Apoptosis Signaling	1.32E00	2.88E-02	NaN	BCL2L1,FAS,NFKBIA	
Netrin Signaling	1.32E00	2.29E-02	1.000	CACNA1E,FMO2,PRKACB,PRKAG2	
DNA damage-induced 14-3-3σ Signaling	1.3E00	4.35E-02	NaN	BCL2L1,CDKN1A	
IGF-1 Signaling	1.3E00	2.83E-02	NaN	IGF1R,PRKACB,PRKAG2	
Sperm Motility	1.29E00	1.95E-02	NaN	IGF1R,PDE2A,PNPLA2,PRKACB,PRKAG2	
PPAR Signaling	1.29E00	2.8E-02	NaN	HSP90AA1,HSP90AB1,NFKBIA	
iNOS Signaling	1.29E00	4.26E-02	NaN	IRAK2,NFKBIA	
Apelin Pancreas Signaling Pathway	1.29E00	4.26E-02	NaN	PRKACB,PRKAG2	
RAR Activation	1.28E00	1.62E-02	1.890	CDKN1A,DUSP1,PDE2A,PRKACB,PRKAG2,RHOB,ZBTB16	
Aryl hydrocarbon receptor signalling	1.27E00	1.43E-01	NaN	HSP90AB1	
Phosphatidylcholine Biosynthesis I	1.27E00	1.43E-01	NaN	CHKA	
Regulation of eIF4 and p70S6K Signaling	1.25E00	2.16E-02	NaN	PPP2R2D,RPS21,RPS28,RPS29	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.24E00	2.15E-02	NaN	CACNA1E,PPP2R2D,PRKACB,PRKAG2	
IL-33 Signaling Pathway	1.23E00	2.14E-02	1.000	BCL2L1,NFKBIA,PRKACB,PRKAG2	
Antioxidant Action of Vitamin C	1.23E00	2.63E-02	NaN	NFKBIA,PNPLA2,SLC2A1	
Transcriptional regulation by RUNX2	1.22E00	3.92E-02	NaN	CDKN1A,HES1	
Amyloid Processing	1.22E00	3.92E-02	NaN	PRKACB,PRKAG2	
Serine biosynthesis	1.22E00	1.25E-01	NaN	SERINC3	
Sphingomyelin Metabolism	1.22E00	1.25E-01	NaN	SGMS1	
CDK5 Signaling	1.22E00	2.61E-02	NaN	PPP2R2D,PRKACB,PRKAG2	
Macrophage Alternative Activation Signaling Pathway	1.21E00	2.11E-02	2.000	DUSP1,EPAS1,NFKBIA,TSC22D3	
GNRH Signaling	1.21E00	2.09E-02	NaN	CACNA1E,MAP3K6,PRKACB,PRKAG2	
Colorectal Cancer Metastasis Signaling	1.2E00	1.83E-02	2.236	BCL2L1,FZD4,PRKACB,PRKAG2,RHOB	
Cardiac Hypertrophy Signaling (Enhanced)	1.2E00	1.47E-02	2.828	CACNA1E,FZD4,HSPB1,IGF1R,MAP3K6,PDE2A,PRKACB,PRKAG2	
Insulin Secretion Signaling Pathway	1.19E00	1.81E-02	2.236	CACNA1E,PRKACB,PRKAG2,RAPGEF4,SLC2A1	
Xenobiotic Metabolism CAR Signaling Pathway	1.19E00	2.06E-02	NaN	FMO2,HSP90AA1,HSP90AB1,PPP2R2D	
Regulation of lipid metabolism by PPARalpha	1.18E00	2.52E-02	NaN	ANGPTL4,CDK8,HMGCS2	
Phototransduction Pathway	1.18E00	3.7E-02	NaN	PRKACB,PRKAG2	
Xenobiotic Metabolism PXR Signaling Pathway	1.18E00	2.05E-02	0.000	HSP90AA1,HSP90AB1,PRKACB,PRKAG2	
Abacavir ADME	1.17E00	1.11E-01	NaN	ABCG2	
RHO GTPases Activate Rhotekin and Rhophilins	1.17E00	1.11E-01	NaN	RHOB	
Butyrophilin (BTN) family interactions	1.17E00	1.11E-01	NaN	XDH	
Lipophagy	1.17E00	1.11E-01	NaN	PRKAG2	
Phosphatidylethanolamine Biosynthesis II	1.17E00	1.11E-01	NaN	CHKA	
Signaling by PTK6	1.17E00	3.64E-02	NaN	ELMO1,EPAS1	
Synaptic Long Term Depression	1.16E00	2.02E-02	NaN	CACNA1E,IGF1R,PNPLA2,PPP2R2D	
Pulmonary Healing Signaling Pathway	1.15E00	2.01E-02	1.000	FZD4,NFKBIA,NOTCH4,PRKAG2	
Oxytocin Signaling Pathway	1.15E00	1.76E-02	2.236	CACNA1E,HSPB1,PNPLA2,PRKACB,PRKAG2	
Lymphotoxin β Receptor Signaling	1.14E00	3.51E-02	NaN	BCL2L1,NFKBIA	
Gustation Pathway	1.14E00	1.98E-02	2.000	CACNA1E,LRRC8A,PRKACB,PRKAG2	
Mitotic Prometaphase	1.13E00	1.97E-02	2.000	CLIP1,HSP90AA1,NEK7,RAD21	
Role of CHK Proteins in Cell Cycle Checkpoint Control	1.13E00	3.45E-02	NaN	CDKN1A,PPP2R2D	
POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation	1.12E00	1E-01	NaN	TSC22D1	
Caspase activation via Dependence Receptors in the absence of ligand	1.12E00	1E-01	NaN	DAPK1	
Ketone body metabolism	1.12E00	1E-01	NaN	HMGCS2	
Coronavirus Pathogenesis Pathway	1.12E00	1.96E-02	-1.000	NFKBIA,RPS21,RPS28,RPS29	
Gαs Signaling	1.12E00	2.38E-02	NaN	PRKACB,PRKAG2,RAPGEF4	
Glioma Signaling	1.11E00	2.36E-02	NaN	CCND3,CDKN1A,IGF1R	
Interleukin-1 family signaling	1.11E00	2.34E-02	NaN	IRAK2,NFKBIA,PTPN14	
Pancreatic Adenocarcinoma Signaling	1.11E00	2.34E-02	NaN	BCL2L1,CDKN1A,RALBP1	
GADD45 Signaling	1.1E00	3.33E-02	NaN	CCND3,CDKN1A	
PCP (Planar Cell Polarity) Pathway	1.1E00	3.33E-02	NaN	EFNB1,FZD4	
G Beta Gamma Signaling	1.1E00	2.33E-02	NaN	CACNA1E,PRKACB,PRKAG2	
TR/RXR Activation	1.09E00	2.31E-02	NaN	KLF9,SLC2A1,UCP2	
Xenobiotic Metabolism Signaling	1.09E00	1.69E-02	NaN	FMO2,HSP90AA1,HSP90AB1,MAP3K6,PPP2R2D	
SUMOylation of immune response proteins	1.08E00	9.09E-02	NaN	NFKBIA	
Pexophagy	1.08E00	9.09E-02	NaN	EPAS1	
Ketogenesis	1.08E00	9.09E-02	NaN	HMGCS2	
Role of JAK2 in Hormone-like Cytokine Signaling	1.08E00	3.23E-02	NaN	BCL2L1,CCND3	
Transcriptional Regulation by MECP2	1.06E00	3.17E-02	NaN	FKBP5,TNRC6C	
Presynaptic depolarization and calcium channel opening	1.05E00	8.33E-02	NaN	CACNA1E	
Tryptophan catabolism	1.05E00	8.33E-02	NaN	SLC7A5	
SNARE Signaling Pathway	1.05E00	2.21E-02	NaN	PRKACB,PRKAG2,SYN3	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.04E00	3.08E-02	NaN	ISG15,NFKBIA	
White Adipose Tissue Browning Pathway	1.03E00	2.17E-02	NaN	CACNA1E,PRKACB,PRKAG2	
Th2 Pathway	1.02E00	2.16E-02	NaN	HLA-A,NOTCH4,S1PR1	
Phagosome Formation	1.02E00	1.29E-02	2.828	ADGRF5,ADGRG1,CLIP1,ELMO1,FZD4,PNPLA2,RAPGEF4,S1PR1,WASF2	
Multiple Sclerosis Signaling Pathway	1.02E00	1.8E-02	0.000	DUSP1,DUSP6,FAS,HLA-A	
CGAS-STING Signaling Pathway	1.02E00	2.14E-02	NaN	CDKN1A,LRRC8A,NFKBIA	
Gαi Signaling	1.02E00	2.14E-02	NaN	PRKACB,PRKAG2,S1PR1	
Mitotic Telophase/Cytokinesis	1.02E00	7.69E-02	NaN	RAD21	
Dissolution of Fibrin Clot	1.02E00	7.69E-02	NaN	PLAT	
Azathioprine ADME	1.02E00	7.69E-02	NaN	XDH	
Guanosine Nucleotides Degradation III	1.02E00	7.69E-02	NaN	XDH	
Hepatic Cholestasis	1.01E00	1.79E-02	2.000	IRAK2,NFKBIA,PRKACB,PRKAG2	
Cell Cycle: G1/S Checkpoint Regulation	1.01E00	2.94E-02	NaN	CCND3,CDKN1A	
NAFLD Signaling Pathway	9.99E-01	1.77E-02	0.000	ACACB,PNPLA2,PPP2R2D,PRKAG2	
Role of NFAT in Cardiac Hypertrophy	9.99E-01	1.77E-02	2.000	CACNA1E,IGF1R,PRKACB,PRKAG2	
Synaptogenesis Signaling Pathway	9.91E-01	1.58E-02	2.236	EFNB1,PRKACB,PRKAG2,RASGRP2,SYN3	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	9.85E-01	7.14E-02	NaN	XDH	
Mevalonate Pathway I	9.85E-01	7.14E-02	NaN	HMGCS2	
CREB Signaling in Neurons	9.84E-01	1.31E-02	2.828	ADGRF5,ADGRG1,CACNA1E,FZD4,IGF1R,PRKACB,PRKAG2,S1PR1	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	9.76E-01	2.82E-02	NaN	PRKAG2,TBC1D4	
SPINK1 General Cancer Pathway	9.76E-01	2.82E-02	NaN	Mt1,Mt2	
Neurovascular Coupling Signaling Pathway	9.68E-01	1.72E-02	NaN	CACNA1E,PNPLA2,PRKACB,PRKAG2	
Melatonin Signaling	9.66E-01	2.78E-02	NaN	PRKACB,PRKAG2	
Endocannabinoid Neuronal Synapse Pathway	9.57E-01	2.01E-02	NaN	CACNA1E,PRKACB,PRKAG2	
YAP1- and WWTR1 (TAZ)-stimulated gene expression	9.57E-01	6.67E-02	NaN	HIPK1	
Glutaminergic Receptor Signaling Pathway (Enhanced)	9.49E-01	1.53E-02	2.236	CACNA1E,PNPLA2,PRKACB,PRKAG2,SLC38A3	
PTEN Signaling	9.44E-01	1.99E-02	NaN	BCL2L1,CDKN1A,IGF1R	
NAD Signaling Pathway	9.38E-01	1.97E-02	NaN	HMGCS2,PRKAG2,SLC7A5	
Corticotropin Releasing Hormone Signaling	9.38E-01	1.97E-02	NaN	CACNA1E,PRKACB,PRKAG2	
Semaphorin Neuronal Repulsive Signaling Pathway	9.38E-01	1.97E-02	NaN	PLXNA2,PRKACB,PRKAG2	
Caveolar-mediated Endocytosis Signaling	9.37E-01	2.67E-02	NaN	B2M,HLA-A	
