Supplementary Data 3. Differentially expressed genes induced by TBI in individual cell clusters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columns A-G show statistics on cell type marker genes. Log.fold.change is log fold change between the groups (positive values have higher expression in TBI, negative values have higher expression in Sham). PCT.TBI is percent of single cells gene is expressed in TBI single cells of the cell type and PCT.TBI is the percent of single cells which express the gene from the cell type of interest in Sham samples. Columns I-AB give the gene signatures for the hippocampal cell types with p values (Pval) and fold changes (FC) shown for each cell type.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Type,Gene,Log.fold.change,PCT.TBI,PCT.Sham,P Value,FDR,,Genes,Ependymal_Pval,Ependymal_FC,Oligodendrocytes_Pval,Oligodendrocytes_FC,Astrocytes_Pval,Astrocytes_FC,Oligodendrocyte Progenitor Cells_Pval,Oligodendrocyte Progenitor Cells_FC,Neurons_Pval,Neurons_FC,Unknown1_Pval,Unknown1_FC,Unknown2_Pval,Unknown2_FC,Mural_Pval,Mural_FC,Microglia_Pval,Microglia_FC,Endothelial_Pval,Endothelial_FC,CA3_Pval,CA3 FC,CA Subtype 1_Pval,CA Subtype 1 FC,CA Subtype 2_Pval,CA Subtype 2 FC,CA1_Pval,CA1 FC,GABAergic_Pval,GABAergic FC,Neuronal Subtype 1_Pval,Neuronal Subtype 1 FC,Neuronal Subtype 2_Pval,Neuronal Subtype 2 FC,DG_Pval,DG FC,Whole Tissue_Pval,Whole Tissue FC,Number of Significant Cell Types
Astrocytes,Mt2,0.698353296,0.802,0.693,7.02E-17,5.49E-14,,Rps29,---,---,2.36E-11,0.487984121,1.05E-06,0.323407161,0.02396221,0.365901663,9.98E-08,0.561891426,---,---,---,---,---,---,3.22E-06,0.315141597,0.000436806,0.340435228,---,---,0.012579382,0.682644544,---,---,---,---,0.037771041,0.631901533,---,---,---,---,---,---,3.04E-41,0.469630438,9
Astrocytes,S1pr3,1.232846575,0.111,0.022,7.84E-17,6.13E-14,,Ncdn,---,---,0.022457893,0.366516426,8.72E-09,0.524852868,---,---,7.28E-11,0.592266054,---,---,---,---,---,---,---,---,---,---,---,---,1.71E-06,1.000049485,0.001754482,1.687213333,6.86E-07,0.917497862,0.000687407,1.473309104,0.008811016,0.855344645,---,---,---,---,3.56E-06,0.281702916,9
Astrocytes,Gfap,0.679734033,0.583,0.45,1.76E-16,1.38E-13,,Ptgds,6.86E-07,0.881476934,---,---,0.001235657,-0.564043055,0.005048359,-1.329836877,7.78E-10,2.902374794,0.001315279,2.859322591,---,---,---,---,---,---,0.000189303,0.345182514,---,---,---,---,---,---,0.011266791,-0.835472345,---,---,---,---,0.003579625,2.246707729,0.001274557,1.175418432,---,---,9
Astrocytes,Calm1,-0.39476344,0.861,0.928,1.90E-16,1.49E-13,,Tmsb4x,0.00024761,-0.852969974,---,---,0.00071494,-0.295581435,---,---,1.25E-06,-0.451810232,---,---,---,---,---,---,0.000184483,0.297728417,6.14E-06,0.412262165,---,---,---,---,---,---,5.18E-06,-0.728308146,0.017392554,0.685858725,---,---,---,---,3.14E-12,-1.114907695,7.44E-23,0.30658445,9
Astrocytes,Vim,0.812482524,0.388,0.229,2.49E-16,1.95E-13,,mt-Rnr1,---,---,2.80E-20,0.623592325,---,---,0.001156891,0.470673363,6.97E-17,0.794498824,---,---,0.002019205,1.459274456,---,---,6.54E-08,0.534025025,0.000468881,0.395322037,---,---,---,---,---,---,1.61E-06,1.372297918,---,---,0.000290165,1.916923598,---,---,---,---,---,---,8
Astrocytes,Snhg11,-0.946278867,0.155,0.292,6.71E-15,5.24E-12,,Zwint,0.037237637,0.655332992,---,---,1.90E-08,-0.617078821,---,---,1.08E-11,-0.666534525,---,---,---,---,0.014532289,0.528748691,---,---,---,---,0.03868083,-0.299492153,0.00161342,-0.656985788,---,---,---,---,---,---,0.000961037,-0.902117534,---,---,---,---,2.36E-33,-0.767114671,8
Astrocytes,Cd44,0.985506874,0.168,0.059,2.16E-14,1.69E-11,,Atp1a1,---,---,0.000759598,0.577204131,0.000168648,0.746486807,---,---,2.47E-07,0.513155023,---,---,---,---,---,---,---,---,---,---,0.028339438,0.569153446,0.002546362,0.983664384,---,---,0.009791344,0.987848461,---,---,---,---,---,---,0.001872775,0.470804184,1.51E-12,0.449264671,8
Astrocytes,Cd63,0.569049555,0.649,0.542,2.24E-14,1.75E-11,,Ndn,0.0041381,-1.44658878,---,---,1.13E-12,-0.585846791,---,---,2.64E-13,-0.865220207,---,---,---,---,---,---,---,---,---,---,0.027092922,-1.005746982,0.002745447,-0.958154561,---,---,---,---,0.000178696,-1.01148801,0.009168999,-0.903980737,---,---,---,---,1.94E-37,-0.806383651,8
Astrocytes,Sox9,0.522115166,0.462,0.342,4.05E-14,3.17E-11,,Rogdi,0.036799755,-0.477910437,---,---,6.34E-06,-0.40420965,---,---,0.012437678,-0.329141063,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.013821373,-0.344133493,0.02939757,-0.814896369,0.049708211,-0.762491591,---,---,---,---,0.000202018,-0.666038586,1.27E-16,-0.512248925,8
Astrocytes,Cck,-0.933536183,0.209,0.354,4.33E-14,3.38E-11,,Ddx39b,---,---,0.033094236,0.391873199,0.041099144,0.310214422,---,---,---,---,---,---,0.022169226,0.585279105,---,---,---,---,0.01014473,0.627585774,---,---,0.002220743,0.624283232,0.004248469,1.376320488,---,---,8.89E-05,-1.043078432,---,---,---,---,---,---,0.000512853,0.262979341,8
Astrocytes,Mt1,0.534050243,0.901,0.804,7.84E-14,6.13E-11,,Camk2n1,---,---,9.28E-05,0.596791024,0.001276179,0.321362145,0.009890605,0.842886255,0.002145808,0.385003225,---,---,---,---,---,---,---,---,---,---,---,---,0.007643829,0.604646562,---,---,0.002281026,0.564405062,---,---,0.001225866,1.260175563,0.004103911,0.529168814,---,---,---,---,8
Astrocytes,Stmn3,-0.734732977,0.212,0.358,9.09E-14,7.11E-11,,Mt3,0.002891208,-0.75927264,8.56E-05,0.751482705,1.68E-22,0.551864063,---,---,0.000400124,0.481661824,---,---,---,---,0.000379295,0.546632753,0.011555133,0.720544132,---,---,---,---,0.022247011,0.838583067,---,---,---,---,---,---,---,---,---,---,---,---,2.05E-19,0.521345975,8
Astrocytes,Calm2,-0.807106516,0.486,0.561,5.36E-13,4.19E-10,,Sparcl1,0.032787096,-0.806951834,---,---,8.47E-06,-0.313299653,---,---,---,---,---,---,0.034687431,-0.695505846,---,---,---,---,1.46E-08,-0.327124612,---,---,---,---,---,---,0.042542751,0.722198582,0.044178982,0.467654739,---,---,---,---,0.002392951,-0.565737783,0.000151787,-0.291683878,8
Astrocytes,S100a11,0.986324265,0.106,0.027,8.61E-13,6.74E-10,,Scg5,---,---,0.043727014,-0.370443812,1.57E-10,-0.694964069,---,---,9.53E-06,-0.463343081,---,---,---,---,---,---,---,---,---,---,0.00159008,-1.114373875,---,---,0.005889235,-0.873838878,0.01633468,-0.290790686,0.020803347,-0.722238566,---,---,---,---,---,---,2.52E-33,-0.700396557,8
Astrocytes,Serpina3n,0.777342511,0.238,0.115,1.02E-12,7.94E-10,,Nptxr,---,---,---,---,0.012853992,0.358420173,---,---,1.48E-14,1.213783748,---,---,---,---,---,---,---,---,---,---,---,---,2.58E-05,0.935681318,0.000843312,2.3019513,0.000132853,1.089316507,---,---,0.018021405,1.104321789,---,---,1.36E-07,1.230567926,2.90E-06,0.47716616,8
Astrocytes,6330403K07Rik,-1.322556019,0.143,0.266,1.11E-12,8.69E-10,,Pcbp1,0.011807082,-0.995964578,1.62E-10,0.391244456,---,---,---,---,---,---,---,---,---,---,---,---,0.010518603,0.511020941,0.005150188,0.685128212,---,---,---,---,0.038666528,0.722436579,---,---,0.015117581,0.454281852,0.034822908,0.387345418,---,---,---,---,5.98E-08,0.256770505,8
Astrocytes,Ndn,-0.585846791,0.115,0.233,1.13E-12,8.80E-10,,mt-Nd3,0.025868843,1.064189417,0.002686973,0.2763584,---,---,---,---,0.003110431,0.551243413,---,---,---,---,---,---,---,---,---,---,---,---,0.027754101,0.642663914,0.032061805,0.694383092,4.01E-05,1.232718409,---,---,0.009372336,0.257110786,---,---,---,---,4.30E-11,0.345048244,8
Astrocytes,Timp1,0.720885761,0.133,0.045,1.35E-12,1.06E-09,,Rpl5,---,---,5.94E-06,0.258078624,0.000873824,0.317706047,---,---,0.006434262,0.356307485,---,---,0.01639198,-0.263255685,0.012056242,-0.558033622,0.001105033,0.457146205,---,---,---,---,---,---,---,---,---,---,---,---,0.007519682,0.506038399,---,---,---,---,1.24E-13,0.360871101,8
Astrocytes,Gstm5,-0.492842947,0.477,0.617,1.80E-12,1.41E-09,,6330403K07Rik,9.66E-05,-0.945925883,---,---,1.11E-12,-1.322556019,---,---,1.44E-06,-0.672243385,---,---,---,---,---,---,---,---,---,---,---,---,0.022577901,-0.653033456,---,---,0.004729444,-0.704710304,---,---,0.00277205,-1.265471704,0.003527161,-0.636256907,---,---,6.04E-28,-0.986959166,8
Astrocytes,Erbb2ip,0.629440304,0.21,0.094,1.87E-12,1.46E-09,,Calm2,0.00105161,-0.646270379,---,---,5.36E-13,-0.807106516,---,---,0.001894952,-0.251809328,0.044569457,-0.453466934,---,---,---,---,0.024673457,-0.265685252,---,---,---,---,---,---,0.015556141,-0.338556654,2.06E-06,-0.869968311,---,---,---,---,---,---,---,---,2.80E-29,-0.591803126,8
Astrocytes,Mdh1,-0.462893141,0.496,0.591,1.99E-12,1.55E-09,,Rpl23a,---,---,0.000145889,0.372133955,3.03E-07,0.367859626,---,---,0.013807236,0.262546184,---,---,---,---,0.029656631,-0.526302883,0.011829631,0.370354032,0.000556819,0.51860462,---,---,---,---,0.03091442,0.832931143,---,---,---,---,---,---,---,---,---,---,1.27E-23,0.422807706,8
Astrocytes,Tm4sf1,1.210864484,0.113,0.034,5.17E-12,4.04E-09,,mt-Nd2,1.08E-05,0.801862881,2.13E-18,0.492703097,---,---,0.001669747,0.351770525,1.66E-19,0.645937851,---,---,---,---,---,---,1.65E-06,0.337618792,---,---,---,---,0.000330163,0.48513952,---,---,4.19E-07,0.987031181,---,---,0.013416463,0.97665448,---,---,---,---,---,---,8
Astrocytes,Hbegf,0.731914626,0.355,0.221,7.19E-12,5.63E-09,,Rpl37a,---,---,1.39E-07,0.492784435,1.75E-06,0.433878761,0.017125844,0.435050198,0.00110084,0.427389699,---,---,---,---,---,---,0.00016186,0.433704066,0.048170302,0.313942982,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.21E-05,0.646367936,3.61E-27,0.466662628,8
Astrocytes,Grcc10,-0.640670535,0.131,0.255,8.56E-12,6.69E-09,,Eef1a2,---,---,---,---,0.000109891,0.428359972,---,---,7.18E-11,0.793360853,---,---,---,---,---,---,---,---,---,---,0.034556674,0.960362569,0.026619856,0.669859542,0.039020317,0.851951816,---,---,---,---,0.000608299,1.267607514,---,---,0.001366996,0.759029347,9.65E-08,0.343317037,8
Astrocytes,Atp5b,-0.341472526,0.619,0.724,1.50E-11,1.17E-08,,Rpl37,---,---,3.34E-08,0.551123781,0.000963812,0.287440853,0.010699191,0.538928744,0.012268529,0.314259033,---,---,---,---,---,---,5.96E-06,0.508543672,---,---,---,---,---,---,---,---,---,---,---,---,0.00255558,1.035755704,---,---,---,---,6.87E-25,0.400512878,7
Astrocytes,Atp1b1,-0.693026977,0.556,0.602,1.77E-11,1.38E-08,,Scn1b,---,---,---,---,0.000230715,0.56833641,---,---,1.37E-08,0.829028689,---,---,---,---,---,---,---,---,---,---,---,---,0.000331201,0.961163281,---,---,0.04403495,0.859627362,---,---,0.003249802,1.084195299,---,---,0.001278395,0.825752799,2.03E-08,0.484271569,7
Astrocytes,Igfbp2,0.857224286,0.262,0.147,2.03E-11,1.59E-08,,Cystm1,0.023367964,-0.661496297,---,---,0.000882431,-0.262838201,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.008173835,-0.770092642,0.019864678,-0.785589017,---,---,0.021482999,-1.031198923,0.043838185,-0.576460216,---,---,---,---,---,---,3.46E-06,-0.261999153,7
Astrocytes,Dbp,-0.42856084,0.143,0.268,2.53E-11,1.98E-08,,Atp1a2,---,---,0.001966046,0.653251782,1.30E-18,0.498322953,2.74E-05,0.585791183,6.10E-06,0.808736065,0.032766043,0.73864518,---,---,---,---,---,---,0.001266883,-0.711195875,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.45E-17,0.408049131,7
Astrocytes,Cnn3,0.32810958,0.526,0.447,2.93E-11,2.29E-08,,Mdh1,0.020908402,0.456415686,0.000892536,-0.389817549,1.99E-12,-0.462893141,---,---,1.51E-11,-0.570370602,---,---,---,---,---,---,---,---,---,---,---,---,0.000571197,-0.6538403,---,---,1.62E-05,-0.908388106,---,---,---,---,---,---,---,---,8.30E-26,-0.499690401,7
Astrocytes,Mbp,-0.702418461,0.527,0.657,3.35E-11,2.62E-08,,Mgst3,---,---,---,---,1.28E-08,-0.389383958,---,---,4.92E-13,-1.213273937,---,---,---,---,---,---,---,---,---,---,0.000176337,-0.979274265,0.032531011,-0.583994627,0.021933827,-0.558295022,0.01521408,-1.062262224,---,---,---,---,---,---,---,---,5.90E-20,-0.529320433,7
Astrocytes,Nell2,-0.725652429,0.154,0.277,3.68E-11,2.88E-08,,Zbtb20,0.000157182,-0.943976142,---,---,0.005531438,0.27948397,---,---,3.01E-05,0.645580084,0.044069951,-0.922031193,0.019513061,-0.694337871,---,---,---,---,---,---,---,---,---,---,---,---,0.01313945,0.864960201,0.025115037,1.207836291,---,---,---,---,---,---,---,---,7
Astrocytes,Atp6v1g2,-0.659078575,0.168,0.291,4.06E-11,3.17E-08,,Fez1,5.78E-05,-1.825662546,4.50E-07,-0.282732197,---,---,---,---,2.30E-05,-0.556060195,---,---,---,---,---,---,---,---,---,---,0.021280201,-0.993704569,---,---,---,---,---,---,---,---,0.034659357,-0.601035216,0.009493343,-0.751990531,---,---,2.49E-17,-0.390838773,7
Astrocytes,Dhrs1,0.573239473,0.306,0.227,7.71E-11,6.03E-08,,Purb,---,---,0.032370802,0.391628237,1.03E-05,0.426393973,---,---,1.15E-05,0.623369108,---,---,---,---,---,---,---,---,---,---,---,---,0.024826524,0.626882787,---,---,0.044042077,0.740201926,0.011322397,0.643415937,---,---,---,---,---,---,9.20E-09,0.362434597,7
Astrocytes,Arpc1a,-0.437308604,0.228,0.361,1.10E-10,8.61E-08,,Rps27,---,---,1.87E-06,0.34490178,4.98E-07,0.404360024,---,---,7.95E-05,0.445077325,---,---,---,---,---,---,0.001721936,0.458471178,0.005100904,0.343207464,---,---,---,---,---,---,---,---,---,---,0.024699011,0.855815458,---,---,---,---,8.58E-32,0.467642303,7
Astrocytes,Rps15a,0.431448047,0.557,0.502,1.10E-10,8.64E-08,,Rps21,---,---,5.28E-19,0.667144808,1.50E-10,0.347338205,---,---,2.86E-06,0.468382112,---,---,---,---,---,---,1.20E-05,0.438965186,---,---,---,---,---,---,0.019098378,0.618429978,0.007553099,0.614749795,---,---,---,---,---,---,---,---,3.88E-43,0.476618618,7
Astrocytes,Pmepa1,0.787288066,0.127,0.047,1.14E-10,8.93E-08,,Rps28,---,---,1.38E-05,0.484620666,0.003259147,0.269403039,0.015743761,0.442613541,0.000555814,0.349698518,---,---,---,---,---,---,3.74E-06,0.581255187,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.001442187,0.590576201,3.29E-22,0.450095172,7
Astrocytes,Cpne6,-0.572994545,0.124,0.242,1.21E-10,9.46E-08,,Atp6v1d,---,---,---,---,1.07E-07,-0.565904957,---,---,6.14E-06,-0.417260258,---,---,0.015223543,0.582107819,---,---,---,---,0.01048928,-0.414690753,---,---,---,---,0.001750483,-0.790929921,---,---,---,---,---,---,---,---,0.007547615,-0.51163514,1.91E-18,-0.467105965,7
Astrocytes,Rps21,0.347338205,0.663,0.594,1.50E-10,1.17E-07,,Lmo4,1.72E-05,-1.479371878,---,---,0.008795837,0.336697475,---,---,0.00250274,0.387360654,---,---,0.000266544,-2.012447011,---,---,---,---,---,---,---,---,0.028163316,-0.269597364,---,---,---,---,---,---,0.043518013,-0.546083238,---,---,0.00033154,0.732589531,---,---,7
Astrocytes,Scg5,-0.694964069,0.181,0.302,1.57E-10,1.23E-07,,mt-Tv,---,---,0.014600199,0.39141704,---,---,0.026110981,1.114370648,0.000155073,0.675705377,---,---,0.014471568,1.487025482,---,---,---,---,---,---,---,---,---,---,0.036998847,0.423081954,---,---,---,---,0.023368449,0.82637626,---,---,---,---,3.23E-07,0.300121049,7
Astrocytes,Syt11,0.306905041,0.729,0.705,2.03E-10,1.59E-07,,Pgrmc1,0.010154692,0.803107996,---,---,1.25E-08,-0.468917119,---,---,2.24E-07,-0.609304721,0.042771546,0.524223276,---,---,---,---,---,---,---,---,---,---,---,---,0.042010381,-0.797241757,---,---,---,---,---,---,---,---,0.036624253,-0.515180066,5.97E-11,-0.385400329,7
Astrocytes,Npas3,0.808171496,0.21,0.112,3.07E-10,2.40E-07,,Cst3,0.000653519,0.794343224,0.022321414,0.297323825,---,---,---,---,0.000329754,0.265897864,---,---,---,---,---,---,7.80E-12,-0.416085812,5.24E-05,-0.446058847,---,---,---,---,---,---,---,---,0.006435386,0.353112157,---,---,---,---,0.008155469,-0.276761514,---,---,7
Astrocytes,Itm2b,-0.360554567,0.785,0.852,3.22E-10,2.52E-07,,Atp5k,0.013703779,1.034093155,7.76E-05,0.333413904,0.00026685,0.339099855,4.29E-06,0.889890984,0.004461117,0.35632634,---,---,---,---,---,---,0.000739772,0.464413667,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.21E-13,0.355544594,7
Astrocytes,Sox2,0.754135505,0.287,0.184,3.46E-10,2.71E-07,,2010107E04Rik,0.004697983,1.076268196,---,---,9.25E-05,0.300669357,---,---,---,---,---,---,---,---,---,---,0.0032382,0.474701468,0.000310237,0.82827798,---,---,---,---,---,---,0.012548069,-0.620532869,0.047075052,0.527867119,---,---,---,---,---,---,4.05E-10,0.34015702,7
Astrocytes,Aqp4,0.513520837,0.578,0.482,3.50E-10,2.74E-07,,Arpc2,---,---,---,---,1.02E-06,-0.503110913,---,---,0.015018797,-0.352229108,---,---,---,---,0.037662352,0.365964212,---,---,---,---,---,---,0.011537178,-0.448304739,---,---,5.91E-05,-0.734489222,---,---,---,---,---,---,0.014146215,-0.45893854,2.60E-06,-0.272162567,7
Astrocytes,Fam213b,-0.55410979,0.069,0.157,7.09E-10,5.54E-07,,Ywhae,---,---,1.03E-08,0.49152774,1.36E-05,0.296806321,0.034453428,0.439412093,2.15E-05,0.370166128,---,---,---,---,---,---,---,---,---,---,---,---,0.014968751,0.423534595,---,---,---,---,2.85E-05,1.007623214,---,---,---,---,---,---,1.23E-10,0.267420232,7
Astrocytes,Tmem59l,-0.684082463,0.125,0.228,8.21E-10,6.42E-07,,Resp18,---,---,---,---,3.52E-08,-0.541507546,---,---,0.002820613,-0.537366694,---,---,---,---,---,---,---,---,---,---,0.021255578,-1.72704009,---,---,---,---,0.043742167,0.756132812,0.015157352,-1.107796144,---,---,---,---,0.001255573,-0.861505486,1.52E-21,-0.731572121,7
Astrocytes,Syt1,-0.710361071,0.214,0.334,8.94E-10,6.99E-07,,Atp1b1,8.96E-07,0.261756765,---,---,1.77E-11,-0.693026977,---,---,1.48E-06,-0.371167629,---,---,0.001012734,-2.525486818,---,---,---,---,---,---,0.009954871,-0.459120595,---,---,---,---,---,---,---,---,---,---,---,---,0.044939556,-0.292353564,2.35E-28,-0.726328125,7
Astrocytes,Anxa2,0.567273215,0.163,0.073,1.02E-09,7.98E-07,,Nenf,---,---,0.000421129,-0.351562795,0.012107916,-0.261868956,---,---,0.005139048,-0.464629074,---,---,---,---,---,---,---,---,---,---,0.013826449,-0.259228583,---,---,---,---,---,---,0.020522085,-0.738090289,---,---,---,---,0.014724936,-0.639978278,0.00026768,-0.262263378,7
Astrocytes,Serp2,-0.478422236,0.088,0.184,1.52E-09,1.19E-06,,Syngr3,0.040991392,-0.538810506,---,---,0.031370358,-0.285679438,---,---,7.91E-08,-0.692563853,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.045446331,-0.817965005,---,---,0.027385184,0.601464749,2.78E-05,-1.069491009,8.30E-17,-0.530641629,7
Astrocytes,Gria2,-0.254559385,0.378,0.518,1.64E-09,1.28E-06,,Atraid,0.022845539,-0.92503659,0.000767593,-0.404824248,---,---,0.03171245,-0.312478314,0.001437409,-0.448462382,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.034567644,-0.735759869,---,---,0.00046514,-1.477684124,---,---,8.34E-12,-0.333643451,7
Astrocytes,Stmn2,-0.485296656,0.164,0.283,1.70E-09,1.33E-06,,Cltb,---,---,---,---,0.000514003,0.40536145,---,---,3.72E-07,0.751448573,0.008127823,1.495868851,---,---,---,---,---,---,0.048572259,0.56201961,---,---,---,---,---,---,---,---,---,---,---,---,0.007386066,1.278516147,0.00088836,0.82039011,5.54E-10,0.40013825,7
Astrocytes,Rps26,0.455176466,0.555,0.486,2.21E-09,1.73E-06,,Slc17a7,---,---,---,---,0.00021284,0.540983989,---,---,3.65E-07,0.71638003,---,---,---,---,---,---,---,---,---,---,0.016020771,1.095038817,0.000218036,1.180420252,0.00855282,1.581204061,6.00E-05,0.691675021,---,---,---,---,---,---,0.000200535,0.9620794,---,---,7
Astrocytes,Rtn1,-0.57383023,0.29,0.407,2.63E-09,2.05E-06,,Serpina3n,---,---,2.69E-10,0.857847256,1.02E-12,0.777342511,0.000342467,0.420528825,4.04E-08,0.985072887,---,---,---,---,---,---,---,---,---,---,0.014219864,-0.317828934,---,---,---,---,---,---,---,---,---,---,---,---,7.13E-07,1.608795795,2.09E-25,0.68001209,7
